interval_begin,interval_end,interval_flow,interval_harmonicMeanSpeed,interval_id,interval_length,interval_nVehContrib,interval_nVehEntered,interval_occupancy,interval_speed
0.00,60.00,60.00,13.96,d_rp1_exit_1,5.00,1,1,0.60,13.96
0.00,60.00,120.00,10.52,d_rp1_exit_2,5.00,2,2,1.58,10.54
0.00,60.00,120.00,11.11,d_rp1_exit_3,5.00,2,2,1.50,11.11
0.00,60.00,0.00,-1.00,d_rp1_exit_4,-1.00,0,0,0.00,-1.00
0.00,60.00,0.00,-1.00,d_rp1_exit_5,-1.00,0,0,0.00,-1.00
60.00,120.00,240.00,12.11,d_rp1_exit_1,5.00,4,4,2.75,12.17
60.00,120.00,900.00,10.01,d_rp1_exit_2,5.00,15,15,12.49,10.41
60.00,120.00,300.00,11.50,d_rp1_exit_3,5.00,5,5,3.62,11.66
60.00,120.00,120.00,10.75,d_rp1_exit_4,5.00,2,2,1.55,10.85
60.00,120.00,180.00,10.78,d_rp1_exit_5,5.00,3,3,2.32,11.30
120.00,180.00,240.00,10.77,d_rp1_exit_1,5.00,4,4,3.09,10.95
120.00,180.00,1200.00,10.68,d_rp1_exit_2,5.00,20,20,15.60,10.78
120.00,180.00,180.00,10.94,d_rp1_exit_3,5.00,3,3,2.29,10.95
120.00,180.00,420.00,8.92,d_rp1_exit_4,5.00,7,7,6.54,9.12
120.00,180.00,60.00,12.95,d_rp1_exit_5,5.00,1,1,0.64,12.95
180.00,240.00,420.00,7.43,d_rp1_exit_1,5.00,7,7,7.85,8.36
180.00,240.00,1080.00,9.79,d_rp1_exit_2,5.00,18,18,15.33,10.09
180.00,240.00,360.00,11.19,d_rp1_exit_3,5.00,6,6,4.47,11.37
180.00,240.00,240.00,9.58,d_rp1_exit_4,5.00,4,4,3.48,9.75
180.00,240.00,240.00,12.72,d_rp1_exit_5,5.00,4,4,2.62,12.80
240.00,300.00,240.00,7.49,d_rp1_exit_1,5.00,4,4,4.45,8.02
240.00,300.00,1080.00,9.58,d_rp1_exit_2,5.00,18,18,15.66,9.98
240.00,300.00,540.00,10.89,d_rp1_exit_3,5.00,9,9,6.89,11.03
240.00,300.00,540.00,10.47,d_rp1_exit_4,5.00,9,9,7.16,10.60
240.00,300.00,420.00,11.49,d_rp1_exit_5,5.00,7,7,5.08,11.68
300.00,360.00,300.00,7.75,d_rp1_exit_1,5.00,5,5,5.38,9.98
300.00,360.00,1500.00,10.43,d_rp1_exit_2,5.00,25,25,19.97,10.61
300.00,360.00,420.00,10.81,d_rp1_exit_3,5.30,7,7,5.78,10.90
300.00,360.00,480.00,8.52,d_rp1_exit_4,5.00,8,8,7.82,8.72
300.00,360.00,120.00,11.91,d_rp1_exit_5,5.00,2,2,1.40,11.95
360.00,420.00,360.00,8.92,d_rp1_exit_1,5.00,6,6,5.60,9.49
360.00,420.00,1440.00,7.35,d_rp1_exit_2,5.00,24,24,27.22,7.65
360.00,420.00,180.00,11.14,d_rp1_exit_3,5.00,3,3,2.25,11.45
360.00,420.00,360.00,10.08,d_rp1_exit_4,5.00,6,6,4.96,10.18
360.00,420.00,420.00,11.00,d_rp1_exit_5,5.00,7,7,5.30,11.66
420.00,480.00,240.00,9.71,d_rp1_exit_1,5.00,4,5,4.76,10.38
420.00,480.00,1140.00,7.39,d_rp1_exit_2,5.00,19,19,21.44,8.46
420.00,480.00,360.00,11.83,d_rp1_exit_3,5.35,6,6,4.55,11.95
420.00,480.00,240.00,11.31,d_rp1_exit_4,5.00,4,4,2.95,11.34
420.00,480.00,360.00,11.58,d_rp1_exit_5,5.00,6,7,4.98,12.33
480.00,540.00,240.00,7.62,d_rp1_exit_1,5.00,4,3,3.05,8.11
480.00,540.00,1080.00,3.48,d_rp1_exit_2,5.00,18,18,43.11,5.94
480.00,540.00,300.00,11.26,d_rp1_exit_3,5.42,5,5,4.05,11.34
480.00,540.00,540.00,8.96,d_rp1_exit_4,5.00,9,9,8.37,9.07
480.00,540.00,420.00,12.24,d_rp1_exit_5,5.00,7,6,4.10,12.32
540.00,600.00,420.00,11.08,d_rp1_exit_1,5.00,7,7,5.26,11.16
540.00,600.00,600.00,1.22,d_rp1_exit_2,5.00,10,11,69.62,4.58
540.00,600.00,360.00,11.02,d_rp1_exit_3,5.00,6,6,4.54,11.10
540.00,600.00,420.00,8.30,d_rp1_exit_4,5.00,7,7,7.03,8.65
540.00,600.00,300.00,12.31,d_rp1_exit_5,5.00,5,5,3.39,12.37
600.00,660.00,240.00,8.36,d_rp1_exit_1,5.00,4,4,3.99,8.67
600.00,660.00,1260.00,5.32,d_rp1_exit_2,5.00,21,20,31.34,6.67
600.00,660.00,240.00,10.76,d_rp1_exit_3,5.53,4,4,3.42,10.82
600.00,660.00,420.00,9.76,d_rp1_exit_4,5.00,7,7,5.98,9.87
600.00,660.00,240.00,12.50,d_rp1_exit_5,5.00,4,4,2.67,12.59
660.00,720.00,420.00,7.52,d_rp1_exit_1,5.00,7,7,7.75,7.92
660.00,720.00,1080.00,3.56,d_rp1_exit_2,5.00,18,18,42.19,4.04
660.00,720.00,180.00,12.31,d_rp1_exit_3,5.00,3,3,2.03,12.44
660.00,720.00,480.00,9.93,d_rp1_exit_4,5.00,8,8,6.72,10.14
660.00,720.00,300.00,10.55,d_rp1_exit_5,5.00,5,5,3.95,11.24
720.00,780.00,60.00,6.42,d_rp1_exit_1,5.00,1,1,1.30,6.42
720.00,780.00,660.00,1.68,d_rp1_exit_2,5.00,11,12,58.51,2.91
720.00,780.00,300.00,10.71,d_rp1_exit_3,5.42,5,5,4.23,10.80
720.00,780.00,300.00,10.17,d_rp1_exit_4,5.00,5,5,4.10,10.51
720.00,780.00,360.00,11.09,d_rp1_exit_5,5.35,6,6,4.86,11.52
780.00,840.00,240.00,5.04,d_rp1_exit_1,5.00,4,4,6.62,5.27
780.00,840.00,960.00,2.62,d_rp1_exit_2,5.00,16,16,47.15,4.32
780.00,840.00,240.00,11.36,d_rp1_exit_3,5.00,4,4,2.93,11.51
780.00,840.00,300.00,9.11,d_rp1_exit_4,5.00,5,5,4.57,9.34
780.00,840.00,180.00,11.23,d_rp1_exit_5,5.00,3,3,2.23,11.39
840.00,900.00,300.00,7.47,d_rp1_exit_1,5.00,5,5,5.58,7.63
840.00,900.00,780.00,1.91,d_rp1_exit_2,5.16,13,12,57.83,3.76
840.00,900.00,180.00,10.78,d_rp1_exit_3,5.00,3,3,2.32,10.78
840.00,900.00,420.00,9.59,d_rp1_exit_4,5.00,7,8,6.82,9.67
840.00,900.00,420.00,10.97,d_rp1_exit_5,5.00,7,7,5.32,11.48
900.00,960.00,360.00,7.87,d_rp1_exit_1,5.00,6,6,6.35,8.12
900.00,960.00,1140.00,4.19,d_rp1_exit_2,5.00,19,19,37.80,5.18
900.00,960.00,300.00,9.89,d_rp1_exit_3,5.00,5,5,4.21,9.99
900.00,960.00,420.00,8.95,d_rp1_exit_4,5.00,7,6,5.79,9.13
900.00,960.00,240.00,12.52,d_rp1_exit_5,5.53,4,4,2.92,12.59
960.00,1020.00,480.00,7.47,d_rp1_exit_1,5.00,8,8,8.92,7.98
960.00,1020.00,1200.00,5.95,d_rp1_exit_2,5.00,20,21,30.13,7.09
960.00,1020.00,120.00,13.07,d_rp1_exit_3,5.00,2,2,1.28,13.07
960.00,1020.00,420.00,10.42,d_rp1_exit_4,5.00,7,7,5.60,10.58
960.00,1020.00,300.00,11.28,d_rp1_exit_5,5.00,5,5,3.69,11.37
1020.00,1080.00,180.00,3.19,d_rp1_exit_1,5.00,3,3,7.84,6.05
1020.00,1080.00,720.00,1.48,d_rp1_exit_2,5.00,12,11,65.36,4.64
1020.00,1080.00,180.00,9.09,d_rp1_exit_3,5.00,3,3,2.75,9.66
1020.00,1080.00,240.00,10.43,d_rp1_exit_4,5.53,4,4,3.55,10.50
1020.00,1080.00,600.00,11.15,d_rp1_exit_5,5.00,10,10,7.47,11.54
1080.00,1140.00,420.00,7.44,d_rp1_exit_1,5.00,7,7,7.84,7.90
1080.00,1140.00,900.00,2.56,d_rp1_exit_2,5.00,15,16,51.71,4.42
1080.00,1140.00,120.00,10.55,d_rp1_exit_3,5.00,2,2,1.58,10.55
1080.00,1140.00,360.00,9.51,d_rp1_exit_4,5.00,6,6,5.26,9.67
1080.00,1140.00,300.00,8.44,d_rp1_exit_5,5.00,5,5,4.94,8.87
1140.00,1200.00,960.00,6.65,d_rp1_exit_1,5.00,16,17,20.78,7.82
1140.00,1200.00,240.00,0.49,d_rp1_exit_2,5.00,4,4,83.77,1.20
1140.00,1200.00,300.00,11.18,d_rp1_exit_3,5.00,5,5,3.73,11.25
1140.00,1200.00,360.00,10.51,d_rp1_exit_4,5.00,6,6,4.76,10.63
1140.00,1200.00,360.00,7.81,d_rp1_exit_5,5.00,6,7,7.32,7.90
1200.00,1260.00,0.00,-1.00,d_rp1_exit_1,-1.00,0,0,0.00,-1.00
