interval_begin,interval_end,interval_flow,interval_harmonicMeanSpeed,interval_id,interval_length,interval_nVehContrib,interval_nVehEntered,interval_occupancy,interval_speed
0.00,60.00,0.00,-1.00,d_rp4_entry_1,-1.00,0,0,0.00,-1.00
0.00,60.00,60.00,8.75,d_rp4_entry_2,5.00,1,1,0.95,8.75
0.00,60.00,0.00,-1.00,d_rp4_entry_3,-1.00,0,0,0.00,-1.00
0.00,60.00,0.00,-1.00,d_rp4_entry_4,-1.00,0,0,0.00,-1.00
0.00,60.00,60.00,8.55,d_rp4_entry_5,5.00,1,1,0.97,8.55
0.00,60.00,0.00,-1.00,d_rp4_entry_6,-1.00,0,0,0.00,-1.00
0.00,60.00,0.00,-1.00,d_rp4_entry_7,-1.00,0,0,0.00,-1.00
0.00,60.00,0.00,-1.00,d_rp4_entry_8,-1.00,0,0,0.00,-1.00
60.00,120.00,120.00,9.19,d_rp4_entry_1,5.00,2,2,1.81,9.19
60.00,120.00,120.00,8.79,d_rp4_entry_2,5.00,2,2,1.90,8.83
60.00,120.00,120.00,6.95,d_rp4_entry_3,5.00,2,2,2.40,6.95
60.00,120.00,0.00,-1.00,d_rp4_entry_4,-1.00,0,0,0.00,-1.00
60.00,120.00,120.00,2.30,d_rp4_entry_5,5.00,2,3,8.10,4.80
60.00,120.00,60.00,9.75,d_rp4_entry_6,5.00,1,1,0.85,9.75
60.00,120.00,60.00,7.30,d_rp4_entry_7,5.00,1,1,1.14,7.30
60.00,120.00,60.00,8.96,d_rp4_entry_8,5.00,1,1,0.93,8.96
120.00,180.00,240.00,2.00,d_rp4_entry_1,5.00,4,5,25.77,7.97
120.00,180.00,360.00,3.23,d_rp4_entry_2,5.00,6,6,15.49,6.19
120.00,180.00,120.00,4.27,d_rp4_entry_3,5.00,2,2,3.90,4.90
120.00,180.00,360.00,2.43,d_rp4_entry_4,5.00,6,6,20.58,6.47
120.00,180.00,360.00,3.52,d_rp4_entry_5,5.00,6,5,13.36,6.62
120.00,180.00,240.00,3.88,d_rp4_entry_6,5.00,4,5,11.74,7.32
120.00,180.00,300.00,7.50,d_rp4_entry_7,5.00,5,6,5.85,7.58
120.00,180.00,60.00,7.32,d_rp4_entry_8,5.00,1,1,1.14,7.32
180.00,240.00,180.00,1.72,d_rp4_entry_1,5.00,3,2,5.48,5.28
180.00,240.00,600.00,5.33,d_rp4_entry_2,5.00,10,11,15.88,6.68
180.00,240.00,0.00,-1.00,d_rp4_entry_3,-1.00,0,0,0.00,-1.00
180.00,240.00,240.00,5.31,d_rp4_entry_4,5.00,4,4,6.28,7.21
180.00,240.00,840.00,7.18,d_rp4_entry_5,5.00,14,14,16.26,7.70
180.00,240.00,180.00,0.76,d_rp4_entry_6,5.00,3,2,29.64,3.03
