interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
300.00,360.00,e_r2pn_0_to_rp1,0,0,5,689277282,0,0,4,42.18
300.00,360.00,e_r2pn_0_to_rp1,0,0,5,881567590#0,2,2,6,20.42
300.00,360.00,e_r2pn_0_to_rp1,0,0,6,881567590#1,0,0,6,13.87
300.00,360.00,e_r2pn_1_to_rp1,0,0,0,1107701847.173,0,0,0,0.14
300.00,360.00,e_r2pn_1_to_rp1,0,0,6,881567590#1,0,0,6,13.87
300.00,360.00,e_plsr_to_rp1,0,0,12,22674672,0,0,10,59.96
300.00,360.00,e_plsr_to_rp1,1,0,9,591402342#0,0,0,10,147.64
300.00,360.00,e_plsr_to_rp1,0,0,10,591402342#1,0,0,12,94.55
300.00,360.00,e_plsr_to_rp1,1,0,12,689277290#0,0,0,12,107.20
300.00,360.00,e_plsr_to_rp1,1,0,12,689277290#1,0,0,12,29.89
300.00,360.00,e_grgn_to_rp1,0,0,6,34778584#0,0,0,7,70.78
300.00,360.00,e_grgn_to_rp1,0,0,7,34778584#1,0,0,7,8.55
360.00,420.00,e_r2ps_to_rp1,0,0,1,689277284#1,0,0,1,7.60
360.00,420.00,e_r2ps_to_rp1,0,0,1,689277284#2,0,0,2,26.83
360.00,420.00,e_r2pn_0_to_rp1,0,0,6,689277282,0,0,6,64.35
360.00,420.00,e_r2pn_0_to_rp1,0,0,10,881567590#0,0,0,8,31.56
360.00,420.00,e_r2pn_0_to_rp1,0,0,7,881567590#1,0,0,7,30.11
360.00,420.00,e_r2pn_1_to_rp1,0,0,5,1107701847.173,0,0,5,6.79
360.00,420.00,e_r2pn_1_to_rp1,0,0,7,881567590#1,0,0,7,30.11
360.00,420.00,e_plsr_to_rp1,0,0,11,22674672,0,0,12,59.48
360.00,420.00,e_plsr_to_rp1,0,0,13,591402342#0,0,0,12,64.57
360.00,420.00,e_plsr_to_rp1,0,0,11,591402342#1,0,0,11,52.49
360.00,420.00,e_plsr_to_rp1,0,0,11,689277290#0,0,0,10,64.25
360.00,420.00,e_plsr_to_rp1,0,0,10,689277290#1,0,0,10,23.91
360.00,420.00,e_grgn_to_rp1,0,0,3,34778584#0,0,0,3,28.88
360.00,420.00,e_grgn_to_rp1,0,0,3,34778584#1,0,0,3,2.60
420.00,480.00,e_r2ps_to_rp1,0,0,4,689277284#1,0,0,2,29.39
