interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
1740.00,1800.00,e_r2ps_to_ach1_mgp_1,0,207.37,0,20,881567591#0,4,4,103.69,20,48.96,42.20,835.62,1.71,0.21,664.44,40.30,183.00
1740.00,1800.00,e_r2ps_to_ach1_mgp_1,0,197.22,0,18,881567591#1,2,2,98.61,24,45.53,24.70,508.70,1.94,0.23,388.19,23.20,106.00
1740.00,1800.00,e_r2ps_to_ach1_mgp_1,0,209.97,0,24,881567591#2,1,1,104.99,25,41.32,7.03,166.93,2.59,0.31,119.22,5.72,41.00
1740.00,1800.00,e_r2ps_to_ach1_mgp_2,0,130.17,0,2,689277284#1,0,0,130.17,0,64.43,8662.45,972.68,0.01,0.00,971.73,8328.10,967.00
1740.00,1800.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,0,689277284#2,0,0,133.33,0,94.56,100000.00,60.00,0.00,0.00,60.00,,60.00
1740.00,1800.00,e_r2ps_to_ach1_mgp_2,0,190.75,0,15,689277281#7,7,7,95.38,13,41.36,23.45,347.59,1.51,0.11,307.53,20.89,154.00
1740.00,1800.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,14,689277286#0,0,0,133.33,14,51.47,3.94,53.70,2.53,0.18,43.71,2.62,14.00
1740.00,1800.00,e_r2ps_to_ach1_mgp_2,0,103.36,0,14,689277286#1,0,0,103.36,12,47.61,28.68,366.32,2.23,0.16,304.08,25.83,60.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_1,0,38.05,12,0,814259719,5,5,19.03,8,9.50,149.02,2363.78,6.98,0.36,1487.01,144.76,1150.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_1,0,133.33,0,0,689277284#0,0,0,133.33,0,67.14,100000.00,660.00,0.00,0.00,660.00,100000.00,660.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_1,0,3.03,0,0,689277288#0,0,0,3.03,1,1.04,36.39,6.03,1.05,0.08,5.44,58.82,0.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_1,0,73.89,0,3,689277288#1,0,0,73.89,10,34.67,53.09,373.99,1.68,0.12,328.08,49.72,0.00
