interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
780.00,840.00,e_ccb_to_rp4,0,0,6,102165688#0,0,0,7,1483.53
780.00,840.00,e_ccb_to_rp4,0,0,5,102165688#1,0,0,5,158.12
780.00,840.00,e_ccb_to_rp4,0,0,8,1136268465,4,4,14,607.26
780.00,840.00,e_ccb_to_rp4,0,0,14,190876198,1,1,15,252.56
780.00,840.00,e_ccb_to_rp4,0,0,17,28000507#1,0,0,18,105.23
840.00,900.00,e_ccb_to_rp4,0,0,15,102165688#0,0,0,16,1115.07
840.00,900.00,e_ccb_to_rp4,0,0,9,102165688#1,0,0,9,168.07
840.00,900.00,e_ccb_to_rp4,0,0,12,1136268465,9,9,7,600.82
840.00,900.00,e_ccb_to_rp4,0,0,7,190876198,0,0,6,322.06
840.00,900.00,e_ccb_to_rp4,0,0,4,28000507#1,0,0,3,114.00
900.00,960.00,e_ccb_to_rp4,0,0,7,102165688#0,0,0,4,1522.61
900.00,960.00,e_ccb_to_rp4,0,0,2,102165688#1,0,0,3,168.68
900.00,960.00,e_ccb_to_rp4,0,0,5,1136268465,2,2,5,701.31
900.00,960.00,e_ccb_to_rp4,0,0,4,190876198,0,0,6,313.49
900.00,960.00,e_ccb_to_rp4,0,0,6,28000507#1,0,0,6,127.01
960.00,1020.00,e_ccb_to_rp4,0,0,5,102165688#0,0,0,7,1486.08
960.00,1020.00,e_ccb_to_rp4,0,0,5,102165688#1,0,0,6,155.64
960.00,1020.00,e_ccb_to_rp4,0,0,9,1136268465,7,7,12,609.78
960.00,1020.00,e_ccb_to_rp4,0,0,13,190876198,0,0,12,256.41
960.00,1020.00,e_ccb_to_rp4,0,0,12,28000507#1,0,0,13,101.64
1020.00,1080.00,e_ccb_to_rp4,0,0,16,102165688#0,0,0,11,1214.06
1020.00,1080.00,e_ccb_to_rp4,0,0,6,102165688#1,0,0,4,170.31
1020.00,1080.00,e_ccb_to_rp4,0,0,7,1136268465,2,2,5,680.90
1020.00,1080.00,e_ccb_to_rp4,0,0,6,190876198,0,0,6,330.58
1020.00,1080.00,e_ccb_to_rp4,0,0,6,28000507#1,0,0,6,115.50
1080.00,1140.00,e_ccb_to_rp4,0,0,5,102165688#0,0,0,14,1415.72
1080.00,1140.00,e_ccb_to_rp4,0,0,12,102165688#1,0,0,14,132.37
1080.00,1140.00,e_ccb_to_rp4,0,0,20,1136268465,5,5,23,497.12
1080.00,1140.00,e_ccb_to_rp4,0,0,24,190876198,0,0,26,229.69
1080.00,1140.00,e_ccb_to_rp4,0,0,28,28000507#1,1,1,27,91.12
1140.00,1200.00,e_ccb_to_rp4,0,0,21,102165688#0,0,0,23,958.61
1140.00,1200.00,e_ccb_to_rp4,0,0,14,102165688#1,0,0,15,83.22
1140.00,1200.00,e_ccb_to_rp4,0,0,15,1136268465,9,9,20,260.32
1140.00,1200.00,e_ccb_to_rp4,0,0,22,190876198,3,3,22,135.45
1140.00,1200.00,e_ccb_to_rp4,0,0,20,28000507#1,0,0,20,82.07
1200.00,1260.00,e_ccb_to_rp4,0,0,24,102165688#0,0,0,28,785.80
1200.00,1260.00,e_ccb_to_rp4,0,0,21,102165688#1,0,0,19,66.87
1200.00,1260.00,e_ccb_to_rp4,0,0,21,1136268465,9,9,14,310.08
1200.00,1260.00,e_ccb_to_rp4,0,0,10,190876198,0,0,8,295.72
1200.00,1260.00,e_ccb_to_rp4,0,0,9,28000507#1,0,0,10,105.38
1260.00,1320.00,e_ccb_to_rp4,0,0,19,102165688#0,0,0,10,922.49
1260.00,1320.00,e_ccb_to_rp4,0,0,7,102165688#1,0,0,6,210.68
1260.00,1320.00,e_ccb_to_rp4,0,0,10,1136268465,6,6,11,629.46
1260.00,1320.00,e_ccb_to_rp4,0,0,13,190876198,0,0,14,292.64
1260.00,1320.00,e_ccb_to_rp4,0,0,13,28000507#1,0,0,13,108.69
1320.00,1380.00,e_ccb_to_rp4,0,0,11,102165688#0,0,0,9,1358.57
1320.00,1380.00,e_ccb_to_rp4,0,0,9,102165688#1,0,0,8,197.42
1320.00,1380.00,e_ccb_to_rp4,0,0,15,1136268465,6,6,13,589.76
1320.00,1380.00,e_ccb_to_rp4,0,0,11,190876198,0,0,10,297.29
1320.00,1380.00,e_ccb_to_rp4,0,0,10,28000507#1,0,0,9,112.45
1380.00,1440.00,e_ccb_to_rp4,0,0,7,102165688#0,0,0,5,1525.63
1380.00,1440.00,e_ccb_to_rp4,0,0,6,102165688#1,0,0,6,206.93
1380.00,1440.00,e_ccb_to_rp4,0,0,8,1136268465,7,7,8,602.67
1380.00,1440.00,e_ccb_to_rp4,0,0,9,190876198,0,0,9,309.75
1380.00,1440.00,e_ccb_to_rp4,0,0,9,28000507#1,0,0,9,108.99
1440.00,1500.00,e_ccb_to_rp4,0,0,5,102165688#0,0,0,11,1446.56
1440.00,1500.00,e_ccb_to_rp4,0,0,9,102165688#1,0,0,9,166.08
1440.00,1500.00,e_ccb_to_rp4,0,0,12,1136268465,7,7,13,519.32
1440.00,1500.00,e_ccb_to_rp4,0,0,13,190876198,1,1,16,270.72
1440.00,1500.00,e_ccb_to_rp4,0,0,18,28000507#1,0,0,19,102.05
1500.00,1560.00,e_ccb_to_rp4,0,0,15,102165688#0,0,0,23,970.80
1500.00,1560.00,e_ccb_to_rp4,0,0,16,102165688#1,0,0,18,87.94
1500.00,1560.00,e_ccb_to_rp4,0,0,22,1136268465,14,14,24,398.70
1500.00,1560.00,e_ccb_to_rp4,0,0,24,190876198,0,0,21,267.11
1500.00,1560.00,e_ccb_to_rp4,0,0,19,28000507#1,0,0,17,104.04
1560.00,1620.00,e_ccb_to_rp4,0,0,16,102165688#0,0,0,15,508.25
1560.00,1620.00,e_ccb_to_rp4,1,0,9,102165688#1,0,0,8,122.23
1560.00,1620.00,e_ccb_to_rp4,0,0,12,1136268465,5,5,9,601.67
1560.00,1620.00,e_ccb_to_rp4,0,0,10,190876198,0,0,11,317.58
1560.00,1620.00,e_ccb_to_rp4,0,0,11,28000507#1,0,0,11,116.55
1620.00,1680.00,e_ccb_to_rp4,0,0,10,102165688#0,0,0,11,524.99
1620.00,1680.00,e_ccb_to_rp4,0,0,10,102165688#1,0,0,9,190.89
1620.00,1680.00,e_ccb_to_rp4,0,0,11,1136268465,9,9,11,538.68
1620.00,1680.00,e_ccb_to_rp4,0,0,10,190876198,0,0,10,303.14
1620.00,1680.00,e_ccb_to_rp4,0,1,11,28000507#1,0,0,12,106.07
1680.00,1740.00,e_ccb_to_rp4,0,0,14,102165688#0,0,0,21,531.86
1680.00,1740.00,e_ccb_to_rp4,0,0,15,102165688#1,0,0,16,139.59
1680.00,1740.00,e_ccb_to_rp4,0,0,18,1136268465,7,7,18,471.13
1680.00,1740.00,e_ccb_to_rp4,0,0,19,190876198,0,0,20,234.49
1680.00,1740.00,e_ccb_to_rp4,1,0,21,28000507#1,0,0,20,98.74
1740.00,1800.00,e_ccb_to_rp4,0,0,15,102165688#0,0,0,10,302.36
1740.00,1800.00,e_ccb_to_rp4,0,0,8,102165688#1,0,0,7,143.00
1740.00,1800.00,e_ccb_to_rp4,0,0,10,1136268465,11,11,11,565.32
1740.00,1800.00,e_ccb_to_rp4,0,0,10,190876198,0,0,9,319.87
1740.00,1800.00,e_ccb_to_rp4,0,0,10,28000507#1,0,0,11,115.03
1800.00,1860.00,e_ccb_to_rp4,0,0,5,102165688#0,0,0,10,250.21
1800.00,1860.00,e_ccb_to_rp4,0,0,8,102165688#1,0,0,7,185.69
1800.00,1860.00,e_ccb_to_rp4,0,0,12,1136268465,4,4,12,624.64
1800.00,1860.00,e_ccb_to_rp4,0,0,13,190876198,0,0,13,279.34
1800.00,1860.00,e_ccb_to_rp4,0,0,12,28000507#1,0,0,10,108.80
1860.00,1920.00,e_ccb_to_rp4,0,0,21,102165688#0,0,0,13,557.67
1860.00,1920.00,e_ccb_to_rp4,0,0,11,102165688#1,0,0,11,163.12
1860.00,1920.00,e_ccb_to_rp4,0,0,16,1136268465,4,4,15,573.45
1860.00,1920.00,e_ccb_to_rp4,0,0,17,190876198,0,0,17,286.70
1860.00,1920.00,e_ccb_to_rp4,0,0,16,28000507#1,0,0,16,110.26
1920.00,1980.00,e_ccb_to_rp4,0,0,8,102165688#0,0,0,3,932.72
1920.00,1980.00,e_ccb_to_rp4,0,0,2,102165688#1,0,0,5,176.43
1920.00,1980.00,e_ccb_to_rp4,0,0,10,1136268465,4,4,11,612.51
1920.00,1980.00,e_ccb_to_rp4,0,0,8,190876198,0,0,8,299.37
1920.00,1980.00,e_ccb_to_rp4,0,0,8,28000507#1,0,0,9,107.39
1980.00,2040.00,e_ccb_to_rp4,0,0,16,102165688#0,0,0,8,1193.15
1980.00,2040.00,e_ccb_to_rp4,0,0,6,102165688#1,0,0,3,215.20
1980.00,2040.00,e_ccb_to_rp4,0,0,9,1136268465,3,3,6,659.49
1980.00,2040.00,e_ccb_to_rp4,0,0,6,190876198,0,0,6,263.66
1980.00,2040.00,e_ccb_to_rp4,0,0,7,28000507#1,0,0,6,113.60
2040.00,2100.00,e_ccb_to_rp4,0,0,4,102165688#0,0,0,0,1693.47
2040.00,2100.00,e_ccb_to_rp4,0,0,0,102165688#1,0,0,0,240.00
2040.00,2100.00,e_ccb_to_rp4,0,0,2,1136268465,0,0,2,743.88
2040.00,2100.00,e_ccb_to_rp4,0,0,3,190876198,0,0,3,285.71
2040.00,2100.00,e_ccb_to_rp4,0,0,3,28000507#1,0,0,4,117.14
2100.00,2160.00,e_ccb_to_rp4,0,0,2,102165688#0,0,0,3,1666.52
2100.00,2160.00,e_ccb_to_rp4,0,0,1,102165688#1,0,0,1,233.95
2100.00,2160.00,e_ccb_to_rp4,0,0,5,1136268465,0,0,5,706.44
2100.00,2160.00,e_ccb_to_rp4,0,0,4,190876198,0,0,3,331.05
2100.00,2160.00,e_ccb_to_rp4,0,0,2,28000507#1,0,0,2,115.45
2160.00,2220.00,e_ccb_to_rp4,0,0,0,102165688#0,0,0,2,1692.52
2160.00,2220.00,e_ccb_to_rp4,0,0,2,102165688#1,0,0,3,203.83
