interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
1140.00,1200.00,e_rp2_to_rp3,0,266.67,0,14,136182032#1,0,0,133.33,14,5.57,0.50,7.10,10.53,0.76,1.21,0.03,0.00
1200.00,1260.00,e_rp2_to_rp3,0,21.90,0,12,542209565,14,14,10.95,14,5.32,23.22,325.50,10.89,0.78,65.66,22.31,4.00
1200.00,1260.00,e_rp2_to_rp3,0,266.67,0,14,136182032#1,0,0,133.33,14,10.09,1.02,14.35,5.17,0.37,8.46,0.28,2.00
1260.00,1320.00,e_rp2_to_rp3,0,18.15,0,14,542209565,11,11,9.07,11,4.41,20.91,269.80,12.09,0.87,40.94,20.20,8.00
1260.00,1320.00,e_rp2_to_rp3,0,266.67,0,11,136182032#1,0,0,133.33,11,11.20,1.61,17.67,3.30,0.24,13.19,0.87,7.00
1320.00,1380.00,e_rp2_to_rp3,0,18.42,0,13,542209565,8,8,9.21,13,4.48,20.94,273.74,12.07,0.87,26.49,20.30,0.00
1320.00,1380.00,e_rp2_to_rp3,0,266.67,0,13,136182032#1,0,0,133.33,13,5.56,0.55,7.06,9.68,0.70,1.54,0.03,0.00
1380.00,1440.00,e_rp2_to_rp3,0,25.27,0,16,542209565,14,14,12.64,16,6.22,22.64,375.68,11.17,0.80,62.06,21.85,3.00
1380.00,1440.00,e_rp2_to_rp3,0,266.67,0,16,136182032#1,0,0,133.33,15,8.16,0.80,12.04,6.66,0.48,5.74,0.25,3.00
1440.00,1500.00,e_rp2_to_rp3,0,25.81,0,17,542209565,12,12,12.91,18,6.35,24.45,383.69,10.34,0.74,93.43,23.53,37.00
1440.00,1500.00,e_rp2_to_rp3,0,266.67,0,18,136182032#1,0,0,133.33,19,10.31,0.69,13.01,7.89,0.57,4.62,0.04,0.00
1500.00,1560.00,e_rp2_to_rp3,0,23.86,0,17,542209565,19,19,11.93,16,5.81,20.63,354.73,12.25,0.88,44.33,20.02,0.00
1500.00,1560.00,e_rp2_to_rp3,0,266.67,0,16,136182032#1,0,0,133.33,16,6.66,0.53,8.47,10.01,0.72,2.09,0.03,0.00
1560.00,1620.00,e_rp2_to_rp3,0,18.94,0,15,542209565,11,11,9.47,15,4.58,20.42,281.54,12.38,0.89,37.41,19.68,1.00
1560.00,1620.00,e_rp2_to_rp3,0,266.67,0,15,136182032#1,0,0,133.33,14,6.64,0.60,8.45,8.81,0.63,2.74,0.10,1.00
1620.00,1680.00,e_rp2_to_rp3,0,29.40,0,20,542209565,15,15,14.70,18,7.17,20.95,437.09,12.06,0.87,57.28,20.33,1.00
1620.00,1680.00,e_rp2_to_rp3,1,266.67,0,17,136182032#1,0,0,133.33,17,8.59,0.61,10.83,8.73,0.63,3.70,0.03,0.00
1680.00,1740.00,e_rp2_to_rp3,0,17.96,0,11,542209565,14,14,8.98,15,4.32,22.24,266.93,11.36,0.82,55.21,21.17,3.00
1680.00,1740.00,e_rp2_to_rp3,0,266.67,0,16,136182032#1,0,0,133.33,16,9.53,0.82,13.17,6.44,0.46,6.66,0.20,2.00
1740.00,1800.00,e_rp2_to_rp3,0,22.71,0,15,542209565,13,13,11.35,16,5.54,20.54,337.55,12.30,0.89,30.01,19.96,0.00
1740.00,1800.00,e_rp2_to_rp3,0,266.67,0,15,136182032#1,0,0,133.33,15,6.08,0.51,7.72,10.29,0.74,1.39,0.03,0.00
1800.00,1860.00,e_rp2_to_rp3,0,18.46,0,14,542209565,17,17,9.23,12,4.63,21.70,274.41,11.66,0.84,30.75,21.01,0.00
1800.00,1860.00,e_rp2_to_rp3,0,266.67,0,13,136182032#1,0,0,133.33,13,5.57,0.54,7.07,9.74,0.70,1.39,0.03,0.00
1860.00,1920.00,e_rp2_to_rp3,0,18.57,0,14,542209565,19,19,9.28,13,4.50,22.10,276.01,11.44,0.82,39.91,21.31,4.00
1860.00,1920.00,e_rp2_to_rp3,0,266.67,0,13,136182032#1,0,0,133.33,13,6.02,0.59,7.65,9.28,0.67,1.91,0.03,0.00
1920.00,1980.00,e_rp2_to_rp3,0,24.97,0,15,542209565,14,14,12.49,19,6.04,21.59,371.18,11.71,0.84,63.22,20.71,0.00
1920.00,1980.00,e_rp2_to_rp3,0,266.67,0,19,136182032#1,0,0,133.33,19,9.57,0.69,12.75,7.63,0.55,5.30,0.09,0.00
1980.00,2040.00,e_rp2_to_rp3,0,22.48,0,18,542209565,14,14,11.24,15,5.47,20.54,334.23,12.31,0.89,37.94,19.92,0.00
1980.00,2040.00,e_rp2_to_rp3,0,266.67,0,15,136182032#1,0,0,133.33,15,6.75,0.55,8.57,9.68,0.70,2.20,0.03,0.00
2040.00,2100.00,e_rp2_to_rp3,0,27.09,0,18,542209565,16,16,13.54,17,6.59,21.30,402.64,11.87,0.85,53.98,20.62,0.00
2040.00,2100.00,e_rp2_to_rp3,0,266.67,0,17,136182032#1,0,0,133.33,17,11.47,0.98,16.69,5.40,0.39,9.60,0.29,4.00
2100.00,2160.00,e_rp2_to_rp3,0,20.88,0,17,542209565,13,13,10.44,15,5.07,20.91,310.44,12.09,0.87,39.74,20.32,0.00
2100.00,2160.00,e_rp2_to_rp3,0,266.67,0,15,136182032#1,0,0,133.33,15,6.17,0.52,7.85,10.13,0.73,1.65,0.03,0.00
2160.00,2220.00,e_rp2_to_rp3,0,25.48,0,16,542209565,14,14,12.74,18,6.19,20.79,378.82,12.16,0.88,44.83,20.12,0.00
2160.00,2220.00,e_rp2_to_rp3,0,266.67,0,18,136182032#1,0,0,133.33,17,7.30,0.56,9.57,9.43,0.68,2.48,0.05,0.00
2220.00,2280.00,e_rp2_to_rp3,0,25.61,1,16,542209565,10,10,12.80,20,6.22,21.63,380.65,11.68,0.84,50.97,20.93,0.00
2220.00,2280.00,e_rp2_to_rp3,0,266.67,0,20,136182032#1,0,0,133.33,21,9.91,0.60,12.55,8.81,0.63,3.76,0.03,0.00
2280.00,2340.00,e_rp2_to_rp3,0,16.09,0,14,542209565,7,7,8.05,10,3.92,20.15,239.25,12.54,0.90,25.51,19.55,0.00
2280.00,2340.00,e_rp2_to_rp3,0,266.67,0,10,136182032#1,0,0,133.33,10,4.12,0.52,5.25,10.21,0.74,1.04,0.03,0.00
2340.00,2400.00,e_rp2_to_rp3,0,29.16,0,20,542209565,21,21,14.58,23,7.07,20.57,433.39,12.29,0.88,56.45,19.86,1.00
2340.00,2400.00,e_rp2_to_rp3,0,266.67,0,23,136182032#1,0,0,133.33,23,10.06,0.56,12.76,9.49,0.68,3.41,0.03,0.00
2400.00,2460.00,e_rp2_to_rp3,0,21.14,0,14,542209565,14,14,10.57,15,5.14,20.78,314.22,12.17,0.88,35.26,20.15,0.00
2400.00,2460.00,e_rp2_to_rp3,0,266.67,0,15,136182032#1,0,0,133.33,15,6.40,0.54,8.14,9.87,0.71,1.70,0.03,0.00
2460.00,2520.00,e_rp2_to_rp3,0,29.47,0,23,542209565,16,16,14.73,19,7.16,21.03,438.05,12.02,0.87,56.82,20.40,1.00
2460.00,2520.00,e_rp2_to_rp3,0,266.67,0,18,136182032#1,0,0,133.33,18,9.42,0.72,12.89,7.40,0.53,5.50,0.12,1.00
2520.00,2580.00,e_rp2_to_rp3,0,27.00,0,20,542209565,17,17,13.50,20,6.55,21.08,401.39,11.99,0.86,47.69,20.46,0.00
2520.00,2580.00,e_rp2_to_rp3,0,266.67,0,20,136182032#1,0,0,133.33,20,10.98,0.76,15.13,7.01,0.50,6.79,0.19,2.00
2580.00,2640.00,e_rp2_to_rp3,0,24.97,0,18,542209565,23,23,12.48,17,6.07,20.52,371.11,12.32,0.89,33.52,19.96,0.00
2580.00,2640.00,e_rp2_to_rp3,0,266.67,0,18,136182032#1,0,0,133.33,17,6.91,0.54,9.18,9.83,0.71,2.09,0.06,0.00
2640.00,2700.00,e_rp2_to_rp3,0,30.20,0,18,542209565,10,10,15.10,22,7.41,22.04,448.97,11.47,0.83,77.62,21.22,1.00
2640.00,2700.00,e_rp2_to_rp3,0,266.67,0,21,136182032#1,0,0,133.33,22,11.99,0.71,15.66,7.44,0.54,6.62,0.09,1.00
2700.00,2760.00,e_rp2_to_rp3,0,23.26,0,17,542209565,16,16,11.63,14,5.72,21.37,345.74,11.83,0.85,35.30,20.70,0.00
