interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,60.00,e_rp3_to_rp4,0,3.37,0,2,22650432,1,1,1.69,2,0.59,1.19,2.39,14.08,1.01,0.12,0.83,0.00
0.00,60.00,e_rp3_to_rp4,0,2.48,0,2,254360502#1,0,0,1.24,2,0.58,6.27,12.54,14.24,1.03,0.49,5.91,0.00
0.00,60.00,e_rp3_to_rp4,0,1.25,0,2,254360502#2,0,0,0.63,1,0.29,10.23,11.06,14.89,1.07,1.00,9.62,0.00
0.00,60.00,e_rp3_to_rp4,0,3.55,0,1,254360502#3,0,0,1.18,1,0.33,1.36,1.36,8.38,0.60,0.38,0.79,0.00
60.00,120.00,e_rp3_to_rp4,0,11.16,0,6,22650432,2,2,5.58,6,1.95,1.32,7.89,12.76,0.92,0.67,0.92,0.00
60.00,120.00,e_rp3_to_rp4,0,7.97,0,6,254360502#1,0,0,3.99,6,1.88,6.72,40.31,13.29,0.96,1.90,6.35,0.00
60.00,120.00,e_rp3_to_rp4,0,6.99,0,6,254360502#2,0,0,3.49,4,1.68,12.12,61.76,12.57,0.90,6.43,11.51,0.00
60.00,120.00,e_rp3_to_rp4,0,13.75,0,4,254360502#3,0,0,4.58,4,1.26,1.31,5.26,8.65,0.62,0.85,0.76,0.00
120.00,180.00,e_rp3_to_rp4,0,26.99,0,14,22650432,4,4,13.50,13,4.78,1.40,19.10,11.97,0.86,3.07,1.00,0.00
120.00,180.00,e_rp3_to_rp4,0,15.90,0,13,254360502#1,1,1,7.95,12,3.74,6.62,80.38,13.47,0.97,3.96,6.25,0.00
120.00,180.00,e_rp3_to_rp4,0,24.20,0,12,254360502#2,0,0,12.10,11,5.84,18.26,213.91,8.34,0.60,87.71,17.31,38.00
120.00,180.00,e_rp3_to_rp4,0,98.70,0,11,254360502#3,0,0,32.90,11,12.79,3.53,37.72,3.22,0.23,26.53,2.60,13.00
180.00,240.00,e_rp3_to_rp4,0,32.14,0,13,22650432,2,2,16.07,14,5.72,1.70,22.74,9.88,0.71,6.71,1.17,0.00
180.00,240.00,e_rp3_to_rp4,0,18.19,0,14,254360502#1,0,0,9.10,12,4.28,7.00,91.98,12.76,0.92,7.43,6.62,0.00
180.00,240.00,e_rp3_to_rp4,0,26.98,0,12,254360502#2,1,1,13.49,13,6.50,17.13,238.49,8.90,0.64,84.65,16.12,28.00
180.00,240.00,e_rp3_to_rp4,0,69.88,0,13,254360502#3,0,0,23.29,13,7.01,2.07,26.71,5.50,0.40,11.26,1.16,1.00
240.00,300.00,e_rp3_to_rp4,0,32.25,0,16,22650432,6,6,16.13,15,5.62,1.50,22.82,11.16,0.80,4.39,1.08,0.00
240.00,300.00,e_rp3_to_rp4,0,21.98,0,15,254360502#1,0,0,10.99,17,5.19,6.78,111.14,13.17,0.95,6.59,6.40,0.00
240.00,300.00,e_rp3_to_rp4,0,37.75,0,16,254360502#2,2,2,18.88,16,9.13,21.59,333.75,7.06,0.51,166.11,20.38,42.00
240.00,300.00,e_rp3_to_rp4,0,144.48,0,16,254360502#3,2,2,48.16,15,17.37,3.52,55.22,3.23,0.23,39.34,2.57,13.00
300.00,360.00,e_rp3_to_rp4,0,23.92,1,9,22650432,1,1,11.96,11,4.65,1.70,16.92,10.00,0.72,4.87,1.23,0.00
300.00,360.00,e_rp3_to_rp4,0,14.36,0,11,254360502#1,0,0,7.18,11,3.49,6.90,72.57,12.97,0.93,6.24,6.52,0.00
300.00,360.00,e_rp3_to_rp4,0,23.66,0,12,254360502#2,0,0,11.83,11,5.86,17.50,209.15,8.71,0.63,79.56,16.45,21.00
300.00,360.00,e_rp3_to_rp4,0,60.67,1,11,254360502#3,0,0,20.22,13,6.41,1.95,23.19,5.90,0.42,8.83,1.15,0.00
360.00,420.00,e_rp3_to_rp4,0,22.03,0,11,22650432,3,3,11.02,10,3.89,1.48,15.58,11.37,0.82,2.75,1.06,0.00
360.00,420.00,e_rp3_to_rp4,0,14.88,0,10,254360502#1,1,1,7.44,11,3.51,6.97,75.25,12.81,0.92,5.24,6.58,0.00
360.00,420.00,e_rp3_to_rp4,0,18.27,0,11,254360502#2,1,1,9.14,11,4.39,16.14,161.54,9.44,0.68,51.06,15.32,2.00
360.00,420.00,e_rp3_to_rp4,0,40.17,0,11,254360502#3,0,0,13.39,10,3.67,1.42,15.35,8.00,0.58,3.77,0.84,0.00
420.00,480.00,e_rp3_to_rp4,0,32.30,0,16,22650432,6,6,16.15,16,5.61,1.47,22.85,11.43,0.82,4.80,1.06,0.00
420.00,480.00,e_rp3_to_rp4,0,19.77,0,16,254360502#1,0,0,9.89,14,4.66,6.68,99.96,13.36,0.96,7.34,6.31,0.00
420.00,480.00,e_rp3_to_rp4,0,40.04,0,14,254360502#2,1,1,20.02,16,9.74,23.49,354.01,6.49,0.47,195.04,22.56,106.00
420.00,480.00,e_rp3_to_rp4,0,172.07,0,16,254360502#3,0,0,57.36,17,22.75,3.96,65.77,2.87,0.21,47.91,3.08,32.00
480.00,540.00,e_rp3_to_rp4,0,58.57,0,20,22650432,4,4,29.28,21,10.41,1.98,41.43,8.47,0.61,15.54,1.20,2.00
480.00,540.00,e_rp3_to_rp4,0,28.93,0,21,254360502#1,1,1,14.46,19,6.78,7.36,146.24,12.12,0.87,14.85,6.97,0.00
480.00,540.00,e_rp3_to_rp4,0,28.93,0,19,254360502#2,1,1,14.47,16,6.95,14.70,255.77,10.36,0.75,59.72,13.90,19.00
480.00,540.00,e_rp3_to_rp4,0,106.08,1,16,254360502#3,0,0,35.36,17,11.89,2.46,40.54,4.63,0.33,21.70,1.58,7.00
540.00,600.00,e_rp3_to_rp4,0,29.84,0,13,22650432,4,4,14.92,12,5.33,1.71,21.11,9.81,0.71,5.56,1.14,0.00
540.00,600.00,e_rp3_to_rp4,0,20.08,0,12,254360502#1,0,0,10.04,15,4.73,7.41,101.52,12.05,0.87,10.75,6.99,0.00
540.00,600.00,e_rp3_to_rp4,0,30.27,0,15,254360502#2,1,1,15.13,17,7.27,16.50,267.57,9.23,0.66,86.43,15.55,8.00
540.00,600.00,e_rp3_to_rp4,0,80.80,0,17,254360502#3,1,1,26.93,16,8.17,1.86,30.88,6.11,0.44,11.87,1.16,1.00
600.00,660.00,e_rp3_to_rp4,0,48.37,0,17,22650432,4,4,24.18,18,8.72,1.96,34.21,8.58,0.62,13.49,1.21,1.00
600.00,660.00,e_rp3_to_rp4,0,23.08,0,17,254360502#1,1,1,11.54,16,5.41,7.05,116.68,12.67,0.91,12.10,6.64,0.00
600.00,660.00,e_rp3_to_rp4,0,24.71,0,15,254360502#2,0,0,12.36,11,5.98,16.28,218.45,9.36,0.67,70.41,15.43,22.00
600.00,660.00,e_rp3_to_rp4,0,101.76,0,10,254360502#3,3,3,33.92,10,12.81,3.89,38.89,2.92,0.21,27.21,2.73,14.00
660.00,720.00,e_rp3_to_rp4,0,35.36,0,18,22650432,3,3,17.68,18,6.17,1.38,25.02,12.17,0.88,3.38,0.98,0.00
660.00,720.00,e_rp3_to_rp4,0,26.35,1,18,254360502#1,0,0,13.18,18,6.24,7.07,133.23,12.63,0.91,11.95,6.68,0.00
660.00,720.00,e_rp3_to_rp4,0,50.41,0,18,254360502#2,1,1,25.20,20,12.09,22.96,445.60,6.64,0.48,232.10,21.64,65.00
660.00,720.00,e_rp3_to_rp4,0,190.90,0,21,254360502#3,0,0,63.63,22,23.28,3.47,72.96,3.28,0.24,50.43,2.42,19.00
720.00,780.00,e_rp3_to_rp4,0,27.02,0,12,22650432,5,5,13.51,11,4.86,1.72,19.11,9.86,0.71,5.74,1.14,0.00
720.00,780.00,e_rp3_to_rp4,0,17.27,0,12,254360502#1,0,0,8.63,14,4.18,6.77,87.30,13.21,0.95,6.37,6.39,0.00
720.00,780.00,e_rp3_to_rp4,0,25.24,0,14,254360502#2,3,3,12.62,14,6.06,17.52,223.11,8.69,0.63,88.52,16.50,12.00
720.00,780.00,e_rp3_to_rp4,0,93.17,0,14,254360502#3,1,1,31.06,14,10.10,2.47,35.61,4.61,0.33,20.17,1.52,6.00
780.00,840.00,e_rp3_to_rp4,0,32.62,0,13,22650432,6,6,16.31,14,5.85,1.65,23.08,10.25,0.74,5.24,1.18,0.00
780.00,840.00,e_rp3_to_rp4,0,18.99,0,14,254360502#1,0,0,9.50,13,4.60,7.32,96.01,12.22,0.88,7.35,6.90,0.00
780.00,840.00,e_rp3_to_rp4,0,20.81,0,13,254360502#2,5,5,10.41,13,5.27,14.16,183.98,10.78,0.78,38.17,13.26,6.00
780.00,840.00,e_rp3_to_rp4,0,85.24,0,12,254360502#3,0,0,28.41,11,10.31,2.79,32.58,4.16,0.30,19.21,1.90,7.00
840.00,900.00,e_rp3_to_rp4,0,28.85,0,10,22650432,4,4,14.43,8,5.44,2.45,20.41,6.84,0.49,9.45,1.59,2.00
840.00,900.00,e_rp3_to_rp4,0,12.16,0,7,254360502#1,0,0,6.08,9,2.86,7.70,61.45,11.59,0.83,7.07,7.26,0.00
840.00,900.00,e_rp3_to_rp4,0,22.12,0,9,254360502#2,2,2,11.06,11,5.31,19.01,195.59,8.01,0.58,73.20,17.85,24.00
840.00,900.00,e_rp3_to_rp4,0,54.56,0,12,254360502#3,0,0,18.19,13,5.12,1.67,20.85,6.79,0.49,6.17,0.97,0.00
900.00,960.00,e_rp3_to_rp4,0,35.14,0,12,22650432,4,4,17.57,14,6.20,1.82,24.86,9.24,0.67,8.19,1.28,0.00
900.00,960.00,e_rp3_to_rp4,0,19.55,0,15,254360502#1,2,2,9.78,13,4.59,7.16,98.86,12.46,0.90,7.54,6.77,0.00
900.00,960.00,e_rp3_to_rp4,0,19.58,0,13,254360502#2,1,1,9.79,14,4.68,13.63,173.12,11.18,0.80,30.90,12.83,1.00
900.00,960.00,e_rp3_to_rp4,0,82.06,0,14,254360502#3,1,1,27.35,13,9.19,2.40,31.36,4.74,0.34,16.76,1.54,5.00
960.00,1020.00,e_rp3_to_rp4,0,39.62,0,13,22650432,2,2,19.81,12,7.15,2.26,28.03,7.48,0.54,12.79,1.58,0.00
960.00,1020.00,e_rp3_to_rp4,0,17.45,0,12,254360502#1,0,0,8.72,12,4.10,7.25,88.21,12.31,0.89,9.37,6.86,0.00
960.00,1020.00,e_rp3_to_rp4,0,20.02,0,11,254360502#2,3,3,10.01,10,4.82,15.18,176.96,10.03,0.72,44.68,14.27,8.00
960.00,1020.00,e_rp3_to_rp4,0,104.03,0,10,254360502#3,1,1,34.68,11,13.50,3.76,39.76,3.02,0.22,27.22,2.73,16.00
1020.00,1080.00,e_rp3_to_rp4,0,31.42,0,13,22650432,4,4,15.71,14,5.63,1.64,22.23,10.30,0.74,4.97,1.16,0.00
1020.00,1080.00,e_rp3_to_rp4,0,21.65,0,14,254360502#1,1,1,10.83,16,5.23,7.28,109.47,12.28,0.88,8.51,6.88,0.00
1020.00,1080.00,e_rp3_to_rp4,0,34.10,0,16,254360502#2,1,1,17.05,14,8.44,19.87,301.41,7.68,0.55,131.84,18.30,15.00
1020.00,1080.00,e_rp3_to_rp4,0,91.08,0,13,254360502#3,0,0,30.36,12,10.32,2.75,34.81,4.28,0.31,20.60,1.60,2.00
1080.00,1140.00,e_rp3_to_rp4,0,25.54,0,11,22650432,4,4,12.77,11,4.55,1.64,18.07,10.22,0.74,5.41,1.13,0.00
1080.00,1140.00,e_rp3_to_rp4,0,14.03,0,11,254360502#1,2,2,7.02,10,3.29,6.85,70.93,13.04,0.94,7.59,6.45,0.00
1080.00,1140.00,e_rp3_to_rp4,0,31.84,0,11,254360502#2,3,3,15.92,7,7.74,28.13,281.52,5.41,0.39,174.24,26.90,109.00
1080.00,1140.00,e_rp3_to_rp4,0,63.53,0,8,254360502#3,0,0,21.18,9,7.24,2.87,24.28,3.96,0.28,14.69,1.92,5.00
1140.00,1200.00,e_rp3_to_rp4,0,28.03,0,14,22650432,3,3,14.02,14,4.90,1.42,19.83,11.85,0.85,2.69,1.01,0.00
1140.00,1200.00,e_rp3_to_rp4,0,20.32,0,14,254360502#1,1,1,10.16,15,4.80,7.02,102.72,12.72,0.92,7.64,6.63,0.00
1140.00,1200.00,e_rp3_to_rp4,0,96.60,0,15,254360502#2,5,5,48.30,7,23.95,75.03,853.94,2.03,0.15,727.52,73.23,542.00
1140.00,1200.00,e_rp3_to_rp4,0,33.01,0,7,254360502#3,0,0,11.00,6,3.35,2.12,12.62,5.35,0.39,6.48,1.18,0.00
1200.00,1260.00,e_rp3_to_rp4,0,27.80,0,13,22650432,3,3,13.90,13,4.90,1.51,19.67,11.10,0.80,4.03,1.08,0.00
1200.00,1260.00,e_rp3_to_rp4,0,15.96,0,13,254360502#1,0,0,7.98,10,3.76,7.02,80.67,12.72,0.92,7.55,6.63,0.00
1200.00,1260.00,e_rp3_to_rp4,0,82.34,0,10,254360502#2,2,2,41.17,12,20.36,57.45,727.92,2.65,0.19,589.59,56.36,289.00
1200.00,1260.00,e_rp3_to_rp4,0,210.63,0,12,254360502#3,0,0,70.21,12,28.57,6.38,80.50,1.78,0.13,66.61,5.28,46.00
1260.00,1320.00,e_rp3_to_rp4,0,26.51,0,12,22650432,1,1,13.25,12,4.64,1.56,18.75,10.74,0.77,4.27,1.13,0.00
1260.00,1320.00,e_rp3_to_rp4,0,18.49,0,12,254360502#1,0,0,9.25,15,4.36,6.92,93.50,12.89,0.93,6.54,6.54,0.00
1260.00,1320.00,e_rp3_to_rp4,0,93.89,0,15,254360502#2,2,2,46.95,15,23.16,58.21,830.05,2.62,0.19,673.11,57.06,329.00
1260.00,1320.00,e_rp3_to_rp4,0,205.53,0,15,254360502#3,0,0,68.51,15,25.07,5.30,78.56,2.15,0.15,62.67,3.62,37.00
1320.00,1380.00,e_rp3_to_rp4,0,25.28,0,11,22650432,1,1,12.64,11,4.41,1.63,17.88,10.33,0.74,4.27,1.18,0.00
