interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,60.00,e_rp5_to_rp4,0,2.73,0,1,23749115#0,0,0,0.91,1,0.26,1.06,1.06,10.80,0.78,0.26,0.64,0.00
0.00,60.00,e_rp5_to_rp4,0,1.29,0,1,23749115#1,0,0,0.43,1,0.21,15.30,15.30,13.29,0.96,1.08,14.73,0.00
0.00,60.00,e_rp5_to_rp4,0,3.70,0,1,23749115#2,0,0,1.23,1,0.32,1.23,1.23,8.56,0.62,0.10,0.65,0.00
60.00,120.00,e_rp5_to_rp4,0,27.87,0,9,23749115#0,3,3,9.29,9,2.68,1.25,10.84,9.15,0.66,3.69,0.76,0.00
60.00,120.00,e_rp5_to_rp4,0,7.15,0,8,23749115#1,0,0,2.38,4,1.15,15.70,85.05,12.96,0.93,7.01,15.14,0.00
60.00,120.00,e_rp5_to_rp4,0,22.29,0,4,23749115#2,0,0,7.43,3,2.47,2.79,7.44,3.78,0.27,4.59,1.58,0.00
120.00,180.00,e_rp5_to_rp4,0,25.53,0,9,23749115#0,1,1,8.51,9,2.42,1.14,9.92,10.03,0.72,2.83,0.68,0.00
120.00,180.00,e_rp5_to_rp4,0,17.30,0,10,23749115#1,0,0,5.77,10,2.80,19.46,205.89,10.45,0.75,50.51,18.55,4.00
120.00,180.00,e_rp5_to_rp4,0,88.87,0,10,23749115#2,0,0,29.62,11,10.43,2.62,29.65,4.04,0.29,17.65,1.82,8.00
180.00,240.00,e_rp5_to_rp4,0,68.20,0,18,23749115#0,4,4,22.73,18,6.76,1.51,26.52,7.62,0.55,12.28,0.94,0.00
180.00,240.00,e_rp5_to_rp4,0,25.26,0,18,23749115#1,2,2,8.42,18,4.07,17.22,300.61,11.81,0.85,48.25,16.52,0.00
180.00,240.00,e_rp5_to_rp4,0,81.51,0,18,23749115#2,0,0,27.17,18,7.38,1.51,27.19,6.99,0.50,7.22,0.82,0.00
240.00,300.00,e_rp5_to_rp4,0,44.69,0,17,23749115#0,4,4,14.90,16,4.16,1.07,17.38,10.69,0.77,4.06,0.63,0.00
240.00,300.00,e_rp5_to_rp4,0,23.84,0,16,23749115#1,1,1,7.95,16,3.84,16.67,283.74,12.20,0.88,36.29,15.82,1.00
240.00,300.00,e_rp5_to_rp4,0,81.46,0,16,23749115#2,0,0,27.15,16,7.96,1.73,27.18,6.09,0.44,9.92,0.98,2.00
300.00,360.00,e_rp5_to_rp4,0,50.73,0,17,23749115#0,7,7,16.91,17,4.73,1.17,19.72,9.80,0.71,4.98,0.69,0.00
300.00,360.00,e_rp5_to_rp4,0,24.17,0,17,23749115#1,1,1,8.06,17,3.85,18.27,287.68,11.13,0.80,48.83,17.02,8.00
300.00,360.00,e_rp5_to_rp4,0,100.92,0,17,23749115#2,0,0,33.64,17,9.68,1.94,33.67,5.43,0.39,14.21,1.06,1.00
360.00,420.00,e_rp5_to_rp4,0,58.81,0,20,23749115#0,3,3,19.60,21,5.54,1.11,22.86,10.35,0.75,5.67,0.66,0.00
360.00,420.00,e_rp5_to_rp4,1,38.70,0,21,23749115#1,2,2,12.90,14,6.28,22.94,460.62,8.86,0.64,159.98,21.91,15.00
360.00,420.00,e_rp5_to_rp4,0,141.49,0,14,23749115#2,0,0,47.16,14,16.68,3.37,47.20,3.13,0.23,31.82,2.15,9.00
420.00,480.00,e_rp5_to_rp4,0,51.43,0,18,23749115#0,1,1,17.14,18,4.90,1.19,19.99,9.67,0.70,5.86,0.71,0.00
420.00,480.00,e_rp5_to_rp4,0,46.13,1,17,23749115#1,4,4,15.38,18,7.47,30.02,549.03,6.77,0.49,274.26,28.22,78.00
420.00,480.00,e_rp5_to_rp4,0,128.70,0,17,23749115#2,2,2,42.90,17,14.26,2.53,42.93,4.18,0.30,24.30,1.60,9.00
480.00,540.00,e_rp5_to_rp4,0,54.94,0,19,23749115#0,2,2,18.31,19,5.18,1.15,21.36,10.01,0.72,5.95,0.68,0.00
480.00,540.00,e_rp5_to_rp4,0,52.82,0,19,23749115#1,4,4,17.61,19,8.62,32.30,628.62,6.30,0.45,344.89,31.12,80.00
480.00,540.00,e_rp5_to_rp4,0,159.96,0,20,23749115#2,1,1,53.32,19,17.16,2.75,53.36,3.84,0.28,32.97,1.58,10.00
540.00,600.00,e_rp5_to_rp4,0,49.92,0,17,23749115#0,2,2,16.64,17,4.64,1.14,19.41,10.06,0.72,4.90,0.67,0.00
540.00,600.00,e_rp5_to_rp4,0,64.14,0,18,23749115#1,4,4,21.38,13,10.49,49.66,763.30,4.09,0.29,532.09,47.86,224.00
540.00,600.00,e_rp5_to_rp4,0,233.14,0,12,23749115#2,0,0,77.71,12,32.12,6.56,77.78,1.61,0.12,65.60,5.19,39.00
600.00,660.00,e_rp5_to_rp4,0,56.33,0,20,23749115#0,1,1,18.78,19,5.24,1.14,21.90,10.07,0.72,6.41,0.67,0.00
600.00,660.00,e_rp5_to_rp4,0,77.36,0,19,23749115#1,7,7,25.79,16,12.49,51.90,920.71,3.92,0.28,663.72,49.70,224.00
600.00,660.00,e_rp5_to_rp4,0,256.33,0,17,23749115#2,0,0,85.44,18,34.33,4.83,85.51,2.18,0.16,66.01,3.84,44.00
660.00,720.00,e_rp5_to_rp4,0,72.03,0,19,23749115#0,1,1,24.01,20,7.04,1.41,28.01,8.11,0.58,11.47,0.87,0.00
660.00,720.00,e_rp5_to_rp4,0,92.42,1,20,23749115#1,9,9,30.81,20,15.16,53.71,1099.91,3.79,0.27,800.69,52.26,148.00
660.00,720.00,e_rp5_to_rp4,0,165.43,0,19,23749115#2,1,1,55.14,18,14.53,2.98,55.19,3.55,0.26,36.45,1.55,6.00
720.00,780.00,e_rp5_to_rp4,0,50.73,0,18,23749115#0,0,0,16.91,17,4.73,1.13,19.72,10.18,0.73,5.09,0.66,0.00
720.00,780.00,e_rp5_to_rp4,0,100.92,0,17,23749115#1,12,12,33.64,16,16.54,67.94,1201.03,2.99,0.22,940.23,65.69,131.00
720.00,780.00,e_rp5_to_rp4,0,215.13,0,17,23749115#2,2,2,71.71,16,22.91,4.45,71.77,2.37,0.17,55.12,2.62,16.00
780.00,840.00,e_rp5_to_rp4,0,33.76,0,10,23749115#0,0,0,11.25,11,3.30,1.25,13.12,9.19,0.66,4.59,0.75,0.00
780.00,840.00,e_rp5_to_rp4,0,95.14,0,11,23749115#1,10,10,31.71,17,15.67,80.18,1132.22,2.54,0.18,924.66,78.73,248.00
780.00,840.00,e_rp5_to_rp4,0,285.68,0,17,23749115#2,0,0,95.23,19,31.80,5.43,95.30,1.94,0.14,76.86,3.65,29.00
840.00,900.00,e_rp5_to_rp4,0,51.85,1,15,23749115#0,2,2,17.28,16,5.47,1.39,20.16,8.24,0.59,7.98,0.87,0.00
