interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
720.00,780.00,e_rp4_to_rp3,0,0,13,22650422#4,0,0,13,30.12
780.00,840.00,e_rp4_to_rp3,0,0,15,22650422#0,0,0,16,35.90
780.00,840.00,e_rp4_to_rp3,0,0,16,22650422#1,0,0,18,59.54
780.00,840.00,e_rp4_to_rp3,0,0,18,22650422#2,0,0,18,717.73
780.00,840.00,e_rp4_to_rp3,0,0,14,22650422#3,0,0,14,578.66
780.00,840.00,e_rp4_to_rp3,0,0,14,22650422#4,0,0,13,29.14
840.00,900.00,e_rp4_to_rp3,0,0,15,22650422#0,0,0,14,31.64
840.00,900.00,e_rp4_to_rp3,0,0,14,22650422#1,0,0,13,34.32
840.00,900.00,e_rp4_to_rp3,0,0,13,22650422#2,0,0,12,707.26
840.00,900.00,e_rp4_to_rp3,0,0,10,22650422#3,0,0,9,651.06
840.00,900.00,e_rp4_to_rp3,0,0,9,22650422#4,0,0,10,22.34
900.00,960.00,e_rp4_to_rp3,0,0,13,22650422#0,0,0,13,32.19
900.00,960.00,e_rp4_to_rp3,0,0,13,22650422#1,0,0,14,71.97
900.00,960.00,e_rp4_to_rp3,0,0,14,22650422#2,0,0,17,736.11
900.00,960.00,e_rp4_to_rp3,0,0,12,22650422#3,0,0,12,602.93
900.00,960.00,e_rp4_to_rp3,0,1,12,22650422#4,0,0,13,33.92
960.00,1020.00,e_rp4_to_rp3,0,0,13,22650422#0,0,0,13,20.47
960.00,1020.00,e_rp4_to_rp3,0,0,13,22650422#1,0,0,12,27.63
960.00,1020.00,e_rp4_to_rp3,0,0,12,22650422#2,0,0,13,698.13
960.00,1020.00,e_rp4_to_rp3,0,0,10,22650422#3,0,0,12,626.61
960.00,1020.00,e_rp4_to_rp3,0,0,12,22650422#4,0,0,12,24.40
1020.00,1080.00,e_rp4_to_rp3,0,0,15,22650422#0,0,0,16,30.32
1020.00,1080.00,e_rp4_to_rp3,0,0,16,22650422#1,0,0,16,34.87
1020.00,1080.00,e_rp4_to_rp3,0,0,16,22650422#2,0,0,15,619.86
1020.00,1080.00,e_rp4_to_rp3,0,0,15,22650422#3,0,0,13,583.87
1020.00,1080.00,e_rp4_to_rp3,0,0,13,22650422#4,0,0,12,25.45
1080.00,1140.00,e_rp4_to_rp3,0,0,13,22650422#0,0,0,13,36.10
1080.00,1140.00,e_rp4_to_rp3,0,1,13,22650422#1,0,0,14,51.79
1080.00,1140.00,e_rp4_to_rp3,0,0,14,22650422#2,0,0,12,701.03
1080.00,1140.00,e_rp4_to_rp3,0,0,10,22650422#3,0,0,13,618.28
1080.00,1140.00,e_rp4_to_rp3,0,0,12,22650422#4,0,0,13,33.33
1140.00,1200.00,e_rp4_to_rp3,0,1,6,22650422#0,0,0,7,12.59
1140.00,1200.00,e_rp4_to_rp3,0,0,6,22650422#1,0,0,6,17.94
1140.00,1200.00,e_rp4_to_rp3,0,0,6,22650422#2,0,0,15,505.40
1140.00,1200.00,e_rp4_to_rp3,0,0,15,22650422#3,0,0,14,558.32
1140.00,1200.00,e_rp4_to_rp3,0,0,15,22650422#4,0,0,14,31.36
1200.00,1260.00,e_rp4_to_rp3,0,0,15,22650422#0,0,0,15,18.21
1200.00,1260.00,e_rp4_to_rp3,0,0,16,22650422#1,0,0,16,30.99
1200.00,1260.00,e_rp4_to_rp3,0,0,16,22650422#2,0,0,18,228.12
1200.00,1260.00,e_rp4_to_rp3,0,0,15,22650422#3,0,0,14,571.36
1200.00,1260.00,e_rp4_to_rp3,0,0,14,22650422#4,0,0,14,30.04
1260.00,1320.00,e_rp4_to_rp3,0,0,14,22650422#0,0,0,14,14.53
1260.00,1320.00,e_rp4_to_rp3,0,0,14,22650422#1,0,0,15,24.49
1260.00,1320.00,e_rp4_to_rp3,0,0,15,22650422#2,0,0,11,219.92
1260.00,1320.00,e_rp4_to_rp3,0,0,10,22650422#3,0,0,9,649.51
1260.00,1320.00,e_rp4_to_rp3,0,0,9,22650422#4,0,0,9,29.18
1320.00,1380.00,e_rp4_to_rp3,0,0,14,22650422#0,0,0,14,26.56
