interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
0.00,60.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
0.00,60.00,0.00,z_rp4_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
60.00,120.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
60.00,120.00,0.00,z_rp4_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,1.87,1,0.00,0.00,0.00,0.00,0.63,12.90,1.94,0.38,1,1,1,21.09,0.00
120.00,180.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
120.00,180.00,5.00,z_rp4_to_rp3_2,5.00,8.27,2,3.00,3.00,4.14,1,10.86,6,1.67,1.67,0.14,0.03,5.98,10.89,5.77,3.38,8,7,8,197.21,3.00
180.00,240.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
180.00,240.00,19.00,z_rp4_to_rp3_2,19.00,64.55,15,12.00,12.00,5.00,1,14.98,8,4.75,4.75,1.08,0.25,9.62,10.10,4.96,5.53,16,10,17,318.57,4.00
240.00,300.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,3.54,1,0.00,0.00,0.00,0.00,0.61,13.22,1.23,0.20,1,1,1,11.05,0.00
240.00,300.00,56.00,z_rp4_to_rp3_2,56.00,131.39,23,4.00,4.00,14.25,2,18.72,10,1.70,1.70,2.11,0.37,14.90,7.40,11.82,8.33,12,12,19,485.82,33.00
300.00,360.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
300.00,360.00,77.00,z_rp4_to_rp3_2,71.00,212.60,38,5.00,5.00,20.30,3,22.01,12,2.14,1.97,3.18,0.55,16.64,7.21,11.14,9.32,16,12,23,544.17,33.00
360.00,420.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,3.54,1,0.00,0.00,0.00,0.00,1.25,13.34,1.30,0.40,2,2,2,21.90,0.00
360.00,420.00,234.00,z_rp4_to_rp3_2,233.00,1085.36,155,8.00,8.00,38.07,5,35.21,19,2.96,2.95,17.47,2.47,28.20,4.66,20.29,15.50,18,12,29,910.96,78.00
420.00,480.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
420.00,480.00,183.00,z_rp4_to_rp3_2,168.00,492.16,76,6.00,6.00,39.78,5,34.34,19,1.91,1.75,7.48,1.12,30.15,3.89,21.70,16.52,15,13,32,976.29,92.00
480.00,540.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,7.09,2,0.00,0.00,0.00,0.00,1.33,12.52,0.90,0.43,2,2,2,23.34,0.00
480.00,540.00,323.00,z_rp4_to_rp3_2,320.00,1047.26,158,6.00,6.00,40.17,5,43.06,23,1.96,1.94,14.28,2.05,36.34,3.09,25.91,19.78,16,12,35,1172.08,162.00
540.00,600.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,5.03,1,0.00,0.00,0.00,0.00,1.71,11.70,2.24,0.43,2,2,2,25.14,0.00
540.00,600.00,558.00,z_rp4_to_rp3_2,548.00,2247.43,326,8.00,8.00,48.17,6,49.69,27,2.45,2.40,25.07,3.37,45.85,2.12,33.75,24.98,14,11,37,1482.97,222.00
600.00,660.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,3.54,1,0.00,0.00,0.00,0.00,0.68,12.24,1.32,0.22,1,1,1,11.94,0.00
600.00,660.00,757.00,z_rp4_to_rp3_2,685.00,3360.47,468,14.00,14.00,67.07,8,49.45,27,3.19,2.89,28.10,3.53,46.02,1.99,34.71,24.67,10,12,36,1467.98,217.00
660.00,720.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,3.54,1,0.00,0.00,0.00,0.00,0.65,12.46,1.45,0.20,1,1,1,11.73,0.00
660.00,720.00,348.00,z_rp4_to_rp3_2,339.00,725.65,126,14.00,14.00,35.85,4,47.59,25,1.60,1.55,8.45,1.32,44.87,2.47,33.30,24.07,11,14,35,1430.45,213.00
720.00,780.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
720.00,780.00,395.00,z_rp4_to_rp3_2,379.00,982.25,161,14.00,5.00,32.70,4,46.80,26,1.79,1.71,10.05,1.52,43.03,2.68,29.33,23.43,17,12,38,1390.21,218.00
780.00,840.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,10.63,3,0.00,0.00,0.00,0.00,2.92,12.77,1.30,0.95,5,4,5,51.88,0.00
780.00,840.00,258.00,z_rp4_to_rp3_2,242.00,393.18,68,10.00,10.00,32.29,4,46.03,26,1.42,1.33,5.11,0.82,42.43,2.68,30.59,23.12,10,14,36,1373.57,174.00
840.00,900.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,7.09,2,0.00,0.00,0.00,0.00,1.67,11.19,1.08,0.50,2,1,3,28.24,0.00
840.00,900.00,633.00,z_rp4_to_rp3_2,630.00,2688.77,393,9.00,9.00,56.52,7,48.67,26,2.64,2.62,25.77,3.48,44.44,1.97,34.97,24.07,13,9,35,1433.45,237.00
900.00,960.00,0.00,z_rp4_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,7.09,2,0.00,0.00,0.00,0.00,2.11,12.46,0.80,0.72,4,5,6,38.88,0.00
900.00,960.00,531.00,z_rp4_to_rp3_2,478.00,2085.58,287,14.00,14.00,56.93,7,48.67,27,2.59,2.33,24.22,3.15,44.44,2.26,33.37,24.18,10,14,36,1438.94,191.00
