interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
780.00,840.00,7.00,z_r2pn_to_rp1_1,7.00,28.46,6,7.00,7.00,4.93,1,7.86,1,7.00,7.00,0.47,0.10,3.27,7.87,2.92,0.48,4,3,4,26.76,1.00
840.00,900.00,4.00,z_r2pn_to_rp1_0,4.00,0.00,0,1.00,1.00,0.00,0,9.95,4,1.00,1.00,0.00,0.00,3.96,12.94,3.74,1.73,6,4,7,100.00,4.00
840.00,900.00,4.00,z_r2pn_to_rp1_1,4.00,14.83,3,4.00,4.00,4.96,1,7.86,1,4.00,4.00,0.25,0.05,2.35,8.31,1.69,0.35,3,3,4,19.43,1.00
900.00,960.00,22.00,z_r2pn_to_rp1_0,21.00,125.67,18,7.00,7.00,14.69,2,5.45,3,5.50,5.25,2.09,0.30,2.86,9.63,5.48,1.20,3,6,6,69.38,4.00
900.00,960.00,16.00,z_r2pn_to_rp1_1,12.00,44.46,9,11.00,7.00,5.00,1,15.71,2,4.00,3.00,0.74,0.15,4.61,4.88,4.29,0.72,5,5,6,40.12,3.00
960.00,1020.00,1.00,z_r2pn_to_rp1_0,1.00,0.00,0,1.00,1.00,0.00,0,13.50,6,1.00,1.00,0.00,0.00,3.90,12.35,5.14,1.85,6,4,6,104.80,1.00
960.00,1020.00,5.00,z_r2pn_to_rp1_1,4.00,19.72,4,5.00,4.00,4.93,1,7.86,1,5.00,4.00,0.33,0.07,2.43,8.27,2.08,0.42,3,3,4,20.86,0.00
1020.00,1080.00,17.00,z_r2pn_to_rp1_0,17.00,62.36,13,14.00,14.00,4.86,1,11.25,5,4.25,4.25,1.04,0.22,3.83,11.04,4.76,1.87,6,7,8,106.87,4.00
1020.00,1080.00,2.00,z_r2pn_to_rp1_1,2.00,0.00,0,1.00,1.00,0.00,0,23.57,3,1.00,1.00,0.00,0.00,4.56,8.55,2.17,0.68,6,6,7,37.85,2.00
1080.00,1140.00,57.00,z_r2pn_to_rp1_0,57.00,420.15,54,26.00,26.00,23.76,3,11.16,5,19.00,19.00,7.00,0.90,4.28,6.68,10.08,1.93,6,2,7,112.76,4.00
