interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
720.00,780.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,7.77,4,0.00,0.00,0.00,0.00,3.72,12.13,0.86,2.13,14,14,15,117.33,0.00
720.00,780.00,14.00,z_rp2_to_rp3_2,14.00,65.20,11,6.00,6.00,20.16,3,11.66,6,4.67,4.67,1.09,0.18,5.93,10.46,3.51,3.30,10,12,14,191.54,3.00
780.00,840.00,1.00,z_rp2_to_rp3_1,1.00,0.00,0,1.00,1.00,0.00,0,7.77,4,1.00,1.00,0.00,0.00,3.98,11.40,1.02,2.23,18,19,19,123.87,1.00
780.00,840.00,2.00,z_rp2_to_rp3_2,2.00,0.00,0,1.00,1.00,0.00,0,11.66,7,1.00,1.00,0.00,0.00,7.72,11.25,2.41,4.22,15,13,17,246.99,2.00
840.00,900.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,5.82,3,0.00,0.00,0.00,0.00,2.90,12.36,0.66,1.57,17,15,17,87.12,0.00
840.00,900.00,3.00,z_rp2_to_rp3_2,3.00,5.00,1,2.00,2.00,5.00,1,9.72,5,1.50,1.50,0.08,0.02,5.56,11.61,1.89,3.17,13,13,17,181.92,2.00
900.00,960.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,9.71,5,0.00,0.00,0.00,0.00,5.24,11.52,1.02,2.93,18,18,20,165.03,0.00
900.00,960.00,47.00,z_rp2_to_rp3_2,47.00,200.56,32,7.00,7.00,23.76,3,11.66,6,3.13,3.13,3.34,0.53,8.14,8.01,6.43,4.43,12,13,16,260.72,15.00
960.00,1020.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,13.59,7,0.00,0.00,0.00,0.00,4.87,12.11,1.21,2.72,17,17,19,152.26,0.00
960.00,1020.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,9.72,5,0.00,0.00,0.00,0.00,4.89,11.56,1.31,2.73,12,12,15,158.82,0.00
1020.00,1080.00,2.00,z_rp2_to_rp3_1,2.00,5.00,1,2.00,2.00,5.00,1,9.71,5,2.00,2.00,0.08,0.02,4.41,11.23,1.42,2.45,11,12,13,138.30,1.00
1020.00,1080.00,1.00,z_rp2_to_rp3_2,1.00,0.00,0,1.00,1.00,0.00,0,9.72,5,1.00,1.00,0.00,0.00,4.17,12.06,1.97,2.32,7,7,10,135.19,1.00
1080.00,1140.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,15.53,8,0.00,0.00,0.00,0.00,7.56,12.04,1.16,4.12,26,20,27,234.19,0.00
1080.00,1140.00,15.00,z_rp2_to_rp3_2,15.00,62.32,10,4.00,4.00,16.16,2,13.60,7,3.00,3.00,1.04,0.17,8.40,10.67,3.54,4.67,15,16,18,271.96,5.00
1140.00,1200.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,13.59,7,0.00,0.00,0.00,0.00,4.33,11.92,1.02,2.47,13,16,20,137.83,0.00
1140.00,1200.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,7.77,4,0.00,0.00,0.00,0.00,3.29,12.42,1.06,1.85,8,9,10,107.08,0.00
1200.00,1260.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,9.71,5,0.00,0.00,0.00,0.00,4.37,11.40,1.23,2.50,16,20,20,138.45,0.00
1200.00,1260.00,20.00,z_rp2_to_rp3_2,20.00,72.64,12,4.00,4.00,16.16,2,11.66,6,2.50,2.50,1.21,0.20,6.74,9.89,4.64,3.58,11,9,12,213.01,8.00
1260.00,1320.00,3.00,z_rp2_to_rp3_1,3.00,10.00,2,3.00,3.00,5.00,1,7.77,4,3.00,3.00,0.17,0.03,4.04,12.40,1.16,2.27,17,15,17,127.50,1.00
1260.00,1320.00,19.00,z_rp2_to_rp3_2,18.00,82.56,16,8.00,8.00,12.56,2,9.72,5,6.33,6.00,1.38,0.27,5.34,10.56,3.34,2.87,9,8,12,169.53,3.00
1320.00,1380.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,7.77,4,0.00,0.00,0.00,0.00,5.16,11.82,0.92,2.82,14,13,16,160.32,0.00
1320.00,1380.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,9.72,5,0.00,0.00,0.00,0.00,3.91,12.12,1.35,2.15,7,7,11,126.82,0.00
1380.00,1440.00,4.00,z_rp2_to_rp3_1,4.00,5.00,1,2.00,2.00,5.00,1,10.01,5,1.33,1.33,0.08,0.02,5.99,11.20,1.40,3.35,20,19,23,188.85,3.00
1380.00,1440.00,9.00,z_rp2_to_rp3_2,9.00,41.14,7,5.00,5.00,16.14,2,10.53,5,3.00,3.00,0.69,0.12,6.78,10.64,2.73,3.58,11,12,15,210.17,4.00
1440.00,1500.00,40.00,z_rp2_to_rp3_1,38.00,217.65,35,15.00,13.00,20.04,3,13.59,7,10.00,9.50,3.63,0.58,6.32,9.28,3.18,3.48,17,20,21,197.12,3.00
1440.00,1500.00,11.00,z_rp2_to_rp3_2,6.00,23.73,5,6.00,5.00,5.00,1,9.72,6,5.50,3.00,0.40,0.08,6.66,11.08,2.31,3.60,12,11,15,209.40,1.00
1500.00,1560.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,7.77,5,0.00,0.00,0.00,0.00,5.51,12.80,0.79,3.00,21,20,22,169.70,0.00
1500.00,1560.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,9.72,6,0.00,0.00,0.00,0.00,6.21,11.58,1.57,3.45,16,16,20,201.22,0.00
1560.00,1620.00,3.00,z_rp2_to_rp3_1,3.00,5.00,1,2.00,2.00,5.00,1,9.34,5,1.50,1.50,0.08,0.02,3.82,11.96,1.15,2.12,16,14,18,117.39,2.00
