interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
540.00,600.00,492.00,z_r2ps_to_ach1_mgp,462.00,2953.65,397,29.00,29.00,88.73,11,9.73,30,6.31,5.92,43.36,5.65,8.38,7.66,18.12,25.70,15,20,44,1534.62,71.00
540.00,600.00,850.00,z_sl_rp1_to_ach1_mgp,819.00,6060.66,740,41.00,41.00,223.65,23,36.27,28,9.55,9.20,85.35,10.10,30.67,2.16,32.71,24.02,13,16,35,1433.58,83.00
540.00,600.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,2.90,6,0.00,0.00,0.00,0.00,1.73,18.00,0.82,3.63,11,9,14,217.33,0.00
600.00,660.00,407.00,z_r2ps_to_ach1_mgp,405.00,2474.96,326,17.00,17.00,94.59,11,11.09,34,5.02,5.00,37.83,4.83,8.57,9.68,13.79,26.05,25,15,49,1557.63,79.00
600.00,660.00,452.00,z_sl_rp1_to_ach1_mgp,382.00,2156.30,310,55.00,32.00,64.09,8,30.99,24,5.87,4.96,26.11,3.58,26.82,3.57,20.43,21.07,22,18,41,1255.30,76.00
600.00,660.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,6.28,13,0.00,0.00,0.00,0.00,4.28,18.56,1.12,9.00,21,22,26,536.38,0.00
660.00,720.00,643.00,z_r2ps_to_ach1_mgp,567.00,3181.07,445,20.00,19.00,86.83,11,11.31,35,4.66,4.11,40.22,5.27,10.22,8.92,17.91,31.35,16,24,50,1870.28,129.00
660.00,720.00,678.00,z_sl_rp1_to_ach1_mgp,629.00,3367.65,475,66.00,60.00,79.39,10,42.76,33,4.18,3.88,30.07,4.00,34.10,2.74,24.62,26.68,26,16,49,1590.66,154.00
660.00,720.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,3.38,8,0.00,0.00,0.00,0.00,1.73,18.67,0.70,3.67,12,9,16,218.39,0.00
720.00,780.00,638.00,z_r2ps_to_ach1_mgp,580.00,3509.87,475,26.00,26.00,102.89,12,10.31,31,5.50,5.00,43.08,5.50,8.46,7.74,19.85,25.77,16,15,42,1539.63,107.00
720.00,780.00,1604.00,z_sl_rp1_to_ach1_mgp,1323.00,8964.64,1183,126.00,60.00,146.35,17,49.24,39,9.32,7.69,84.57,11.10,44.29,1.42,35.52,34.43,17,12,50,2058.98,149.00
720.00,780.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,3.38,7,0.00,0.00,0.00,0.00,2.15,18.18,0.87,4.57,10,13,17,272.03,0.00
780.00,840.00,479.00,z_r2ps_to_ach1_mgp,399.00,2034.26,290,17.00,13.00,86.56,10,10.97,33,3.80,3.17,27.14,3.63,9.56,9.53,16.12,29.17,18,15,45,1745.86,119.00
780.00,840.00,2135.00,z_sl_rp1_to_ach1_mgp,1209.00,8341.68,1111,154.00,60.00,129.69,17,50.97,39,16.17,9.16,89.56,11.95,44.26,2.00,29.45,34.57,18,17,56,2060.83,102.00
780.00,840.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,2.90,6,0.00,0.00,0.00,0.00,1.95,18.48,0.83,4.08,11,9,15,243.63,0.00
840.00,900.00,343.00,z_r2ps_to_ach1_mgp,332.00,1582.04,225,17.00,17.00,81.29,10,10.98,33,3.01,2.91,18.73,2.48,9.76,9.92,15.48,29.85,15,20,45,1780.71,111.00
840.00,900.00,2160.00,z_sl_rp1_to_ach1_mgp,1660.00,11433.19,1509,159.00,60.00,249.62,29,54.90,42,11.68,8.97,128.53,16.47,51.17,1.28,37.14,39.90,17,18,56,2383.91,159.00
840.00,900.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,3.38,7,0.00,0.00,0.00,0.00,2.40,18.47,1.26,5.07,8,10,14,301.94,0.00
900.00,960.00,203.00,z_r2ps_to_ach1_mgp,202.00,661.39,108,6.00,6.00,36.39,4,7.99,25,2.07,2.06,8.74,1.33,7.01,8.40,12.74,21.53,19,22,44,1287.34,101.00
900.00,960.00,1437.00,z_sl_rp1_to_ach1_mgp,1114.00,7749.98,1051,69.00,60.00,136.72,18,47.84,38,16.52,12.80,123.55,16.53,44.58,2.43,27.06,34.98,20,23,58,2084.79,63.00
900.00,960.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,3.38,7,0.00,0.00,0.00,0.00,2.14,18.65,0.73,4.57,14,11,18,270.37,0.00
960.00,1020.00,354.00,z_r2ps_to_ach1_mgp,341.00,1828.20,250,14.00,12.00,68.94,8,11.77,36,3.58,3.44,26.02,3.38,9.67,10.82,12.87,29.58,32,21,54,1766.35,93.00
960.00,1020.00,1870.00,z_sl_rp1_to_ach1_mgp,1084.00,7099.80,941,69.00,31.00,116.39,13,45.37,36,10.62,6.16,64.60,8.07,42.41,2.25,30.64,33.07,17,20,52,1973.43,164.00
960.00,1020.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,4.35,9,0.00,0.00,0.00,0.00,2.54,19.53,0.89,5.43,9,14,16,322.09,0.00
1020.00,1080.00,432.00,z_r2ps_to_ach1_mgp,423.00,2071.28,296,12.00,12.00,79.72,9,11.31,35,3.25,3.18,25.25,3.30,10.12,8.42,17.27,30.80,18,20,51,1839.89,130.00
1020.00,1080.00,1786.00,z_sl_rp1_to_ach1_mgp,1609.00,11792.83,1513,55.00,55.00,285.19,34,53.02,41,13.43,12.10,121.33,15.43,47.30,1.29,37.20,36.78,20,13,52,2196.66,114.00
1020.00,1080.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,2.90,6,0.00,0.00,0.00,0.00,1.87,18.45,0.96,3.92,9,10,11,233.64,0.00
1080.00,1140.00,694.00,z_r2ps_to_ach1_mgp,654.00,4130.39,537,18.00,17.00,101.70,11,12.33,38,5.51,5.19,50.94,6.30,10.05,8.59,16.68,30.68,24,17,55,1835.85,117.00
1080.00,1140.00,2447.00,z_sl_rp1_to_ach1_mgp,1734.00,12270.89,1618,76.00,41.00,146.58,18,59.50,46,16.53,11.72,117.23,15.55,51.98,1.25,37.47,40.48,18,11,57,2421.30,123.00
1080.00,1140.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,4.35,9,0.00,0.00,0.00,0.00,2.05,19.15,0.99,4.35,14,11,15,258.76,0.00
1140.00,1200.00,857.00,z_r2ps_to_ach1_mgp,759.00,5827.03,648,22.00,22.00,259.21,10,12.64,39,5.83,5.16,66.04,6.33,11.94,8.58,20.47,36.28,16,17,54,2172.12,139.00
1140.00,1200.00,3046.00,z_sl_rp1_to_ach1_mgp,2288.00,16754.68,2163,94.00,60.00,379.59,47,60.79,47,17.92,13.46,172.25,21.85,57.08,0.60,44.64,44.45,10,11,56,2660.77,131.00
1140.00,1200.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,4.35,9,0.00,0.00,0.00,0.00,2.98,19.33,1.33,6.28,13,12,17,374.80,0.00
1200.00,1260.00,1291.00,z_r2ps_to_ach1_mgp,1196.00,16089.68,1068,79.00,60.00,432.52,23,13.14,40,8.33,7.72,244.02,14.35,12.36,5.75,25.52,37.70,22,20,59,2257.97,140.00
1200.00,1260.00,3220.00,z_sl_rp1_to_ach1_mgp,1761.00,11866.44,1614,154.00,60.00,240.20,30,56.99,45,16.77,9.17,145.60,19.50,53.29,1.16,39.00,41.92,12,17,57,2508.10,156.00
