interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
0.00,60.00,0.00,z_rp3_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,3.73,2,0.00,0.00,0.00,0.00,0.59,14.90,0.80,0.33,2,2,2,18.87,0.00
0.00,60.00,0.00,z_rp3_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,1.87,1,0.00,0.00,0.00,0.00,0.28,12.71,0.42,0.15,1,0,1,9.00,0.00
60.00,120.00,0.00,z_rp3_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,6.97,4,0.00,0.00,0.00,0.00,2.12,12.86,1.03,1.22,6,4,6,68.59,0.00
60.00,120.00,0.00,z_rp3_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,3.74,2,0.00,0.00,0.00,0.00,1.45,12.39,1.25,0.83,2,2,3,48.27,0.00
120.00,180.00,57.00,z_rp3_to_rp4_1,57.00,302.94,48,15.00,15.00,24.84,3,10.43,6,6.33,6.33,5.05,0.80,7.20,8.29,5.77,4.08,14,11,16,234.08,9.00
120.00,180.00,14.00,z_rp3_to_rp4_2,14.00,53.53,11,7.00,7.00,5.00,1,5.61,3,4.67,4.67,0.89,0.18,3.62,11.00,4.84,2.03,5,4,6,120.13,3.00
180.00,240.00,23.00,z_rp3_to_rp4_1,21.00,94.99,17,7.00,7.00,12.54,2,13.04,7,3.29,3.00,1.58,0.28,9.55,9.90,4.88,5.37,12,12,17,311.90,7.00
180.00,240.00,16.00,z_rp3_to_rp4_2,16.00,67.60,12,9.00,9.00,12.58,2,3.74,2,4.00,4.00,1.13,0.20,2.14,8.73,5.45,1.22,3,3,5,71.34,4.00
240.00,300.00,89.00,z_rp3_to_rp4_1,89.00,468.65,68,9.00,9.00,32.41,4,14.90,8,3.87,3.87,7.73,1.12,11.75,7.58,7.71,6.60,17,16,22,382.81,26.00
240.00,300.00,31.00,z_rp3_to_rp4_2,18.00,59.33,12,9.00,7.00,5.00,1,7.42,4,3.88,2.25,0.99,0.20,4.31,9.69,4.36,2.48,9,10,11,145.44,6.00
