interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
0.00,60.00,0.00,z_rp5_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,2.25,1,0.00,0.00,0.00,0.00,0.65,12.79,1.47,0.32,1,1,1,17.73,0.00
0.00,60.00,0.00,z_rp5_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
60.00,120.00,2.00,z_rp5_to_rp4_1,2.00,4.71,1,2.00,2.00,4.71,1,8.47,4,2.00,2.00,0.08,0.02,2.64,11.66,1.43,1.28,9,6,9,70.53,1.00
60.00,120.00,0.00,z_rp5_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,9.01,4,0.00,0.00,0.00,0.00,1.28,12.38,0.65,0.57,4,0,4,34.00,0.00
120.00,180.00,7.00,z_rp5_to_rp4_1,7.00,39.52,5,4.00,4.00,17.32,2,9.01,4,3.50,3.50,0.66,0.08,5.39,10.80,2.88,2.55,8,8,11,146.38,2.00
120.00,180.00,19.00,z_rp5_to_rp4_2,19.00,70.00,14,7.00,7.00,5.00,1,7.10,4,3.80,3.80,1.17,0.23,3.65,7.96,5.81,1.75,3,6,7,102.13,5.00
180.00,240.00,2.00,z_rp5_to_rp4_1,2.00,4.34,1,2.00,2.00,4.34,1,15.04,8,2.00,2.00,0.07,0.02,8.97,10.97,2.05,4.40,21,21,24,248.47,1.00
180.00,240.00,2.00,z_rp5_to_rp4_2,2.00,0.00,0,1.00,1.00,0.00,0,6.76,4,1.00,1.00,0.00,0.00,4.03,11.30,2.61,1.88,7,7,8,110.80,3.00
240.00,300.00,5.00,z_rp5_to_rp4_1,5.00,9.68,2,2.00,2.00,5.00,1,13.38,6,1.67,1.67,0.16,0.03,9.03,11.90,2.22,4.33,16,13,19,246.75,3.00
240.00,300.00,0.00,z_rp5_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,6.94,4,0.00,0.00,0.00,0.00,3.02,10.72,1.73,1.45,4,5,5,83.96,0.00
300.00,360.00,17.00,z_rp5_to_rp4_1,17.00,64.39,10,5.00,5.00,17.20,2,13.30,6,2.43,2.43,1.07,0.17,8.42,9.97,2.50,4.18,17,21,23,234.33,7.00
300.00,360.00,0.00,z_rp5_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,6.76,3,0.00,0.00,0.00,0.00,3.99,11.56,1.65,1.87,7,5,7,109.68,0.00
360.00,420.00,38.00,z_rp5_to_rp4_1,38.00,125.66,20,5.00,5.00,24.92,3,22.54,10,2.11,2.11,2.09,0.33,15.32,8.36,6.56,7.17,22,17,24,414.89,18.00
360.00,420.00,23.00,z_rp5_to_rp4_2,23.00,135.30,18,8.00,8.00,17.62,2,6.76,3,4.60,4.60,2.25,0.30,4.40,8.65,5.21,2.03,6,5,8,120.10,5.00
420.00,480.00,142.00,z_rp5_to_rp4_1,135.00,808.01,115,9.00,9.00,46.86,6,24.79,11,5.07,4.82,13.47,1.92,18.11,6.21,9.71,8.32,20,18,27,487.83,27.00
420.00,480.00,17.00,z_rp5_to_rp4_2,17.00,67.57,13,7.00,7.00,12.57,2,9.01,4,4.25,4.25,1.13,0.22,4.57,8.57,3.98,2.18,8,8,11,128.22,4.00
480.00,540.00,158.00,z_rp5_to_rp4_1,152.00,796.22,117,10.00,10.00,37.27,5,27.04,12,4.05,3.90,11.86,1.70,19.69,6.27,10.38,9.10,19,19,28,531.93,38.00
480.00,540.00,55.00,z_rp5_to_rp4_2,49.00,266.16,39,17.00,12.00,32.54,4,11.26,5,5.00,4.45,4.44,0.65,6.27,6.18,7.88,3.00,9,9,12,175.99,11.00
540.00,600.00,329.00,z_rp5_to_rp4_1,308.00,2080.64,278,21.00,21.00,63.90,8,31.48,15,8.02,7.51,32.84,4.37,25.46,4.23,18.81,11.62,16,12,25,684.60,40.00
540.00,600.00,98.00,z_rp5_to_rp4_2,97.00,591.61,83,11.00,11.00,25.70,3,11.26,5,6.53,6.47,9.86,1.38,6.55,3.22,14.88,3.02,6,5,9,179.11,14.00
600.00,660.00,383.00,z_rp5_to_rp4_1,324.00,2248.88,306,26.00,26.00,84.84,11,38.16,17,6.38,5.40,31.52,4.22,31.09,3.92,18.21,14.13,20,17,33,834.34,59.00
600.00,660.00,95.00,z_rp5_to_rp4_2,95.00,545.72,84,22.00,22.00,27.55,4,11.26,5,8.64,8.64,9.10,1.40,7.15,3.87,11.54,3.38,8,8,12,199.28,11.00
660.00,720.00,301.00,z_rp5_to_rp4_1,286.00,1843.40,264,15.00,14.00,75.77,10,40.57,19,5.10,4.85,28.58,4.02,36.89,3.64,19.67,16.87,21,20,37,995.12,60.00
660.00,720.00,46.00,z_rp5_to_rp4_2,44.00,210.74,33,11.00,11.00,20.04,3,11.26,6,3.54,3.38,3.51,0.55,6.90,5.22,8.69,3.25,10,10,14,191.20,12.00
720.00,780.00,465.00,z_rp5_to_rp4_1,435.00,2596.11,360,11.00,11.00,61.36,8,42.82,20,4.60,4.31,36.03,4.75,38.45,2.91,21.96,17.52,20,19,37,1035.63,104.00
720.00,780.00,106.00,z_rp5_to_rp4_2,101.00,515.11,78,8.00,8.00,40.12,5,13.52,6,4.08,3.88,8.59,1.30,9.51,3.77,11.90,4.42,12,10,16,261.49,26.00
