interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
3120.00,3180.00,1461.00,z_ccb_to_rp4_1,1014.00,8768.08,1029,73.00,45.00,178.78,21,58.63,21,25.19,17.48,124.90,14.23,54.98,0.38,46.12,19.82,5,6,25,1186.40,44.00
3120.00,3180.00,567.00,z_ccb_to_rp4_2,495.00,3748.71,488,53.00,46.00,95.20,12,59.66,12,16.68,14.56,57.63,7.42,53.64,0.85,34.14,11.07,6,9,18,659.78,24.00
3180.00,3240.00,878.00,z_ccb_to_rp4_1,789.00,5533.94,743,34.00,34.00,178.98,22,61.30,22,10.97,9.86,64.48,8.55,51.59,1.26,33.74,18.77,11,14,30,1118.89,70.00
3180.00,3240.00,274.00,z_ccb_to_rp4_2,268.00,1485.66,214,24.00,24.00,87.77,12,59.64,12,4.81,4.70,23.46,3.32,39.87,1.61,22.78,8.22,10,7,19,490.73,54.00
3240.00,3300.00,1173.00,z_ccb_to_rp4_1,1055.00,9659.31,1099,72.00,60.00,178.71,20,55.87,20,58.65,52.75,160.57,18.25,53.77,0.29,51.43,19.38,6,5,22,1158.10,10.00
3240.00,3300.00,895.00,z_ccb_to_rp4_2,725.00,5340.95,714,73.00,60.00,95.22,13,64.61,13,38.91,31.52,88.77,11.85,61.76,0.21,52.65,12.52,2,3,14,749.37,11.00
3300.00,3360.00,1739.00,z_ccb_to_rp4_1,919.00,7487.02,905,74.00,43.00,178.76,21,58.63,21,31.05,16.41,110.74,13.05,52.99,0.75,43.20,19.17,8,9,25,1144.78,42.00
3300.00,3360.00,737.00,z_ccb_to_rp4_2,443.00,3132.95,407,74.00,36.00,87.90,11,54.69,12,13.40,8.05,49.46,6.35,49.20,1.01,33.03,10.17,6,8,17,606.41,48.00
3360.00,3420.00,567.00,z_ccb_to_rp4_1,545.00,3610.37,471,17.00,17.00,171.39,19,55.67,20,6.37,6.12,42.19,5.45,45.24,2.00,26.15,16.68,16,20,32,987.91,86.00
3360.00,3420.00,229.00,z_ccb_to_rp4_2,215.00,1034.93,144,12.00,12.00,67.89,7,49.72,10,2.86,2.69,15.65,2.08,43.28,1.87,22.99,9.08,11,12,20,536.95,80.00
3420.00,3480.00,624.00,z_ccb_to_rp4_1,595.00,4965.24,592,39.00,37.00,157.46,17,53.92,20,15.60,14.88,80.29,9.43,42.60,1.81,26.43,15.68,18,18,30,924.86,36.00
3420.00,3480.00,390.00,z_ccb_to_rp4_2,387.00,2472.81,340,30.00,30.00,95.57,13,64.61,13,7.96,7.90,40.40,5.52,48.44,1.38,31.35,10.05,9,10,17,597.15,47.00
3480.00,3540.00,664.00,z_ccb_to_rp4_1,663.00,6387.54,731,47.00,47.00,178.78,20,55.84,20,20.75,20.72,98.32,11.25,45.37,1.64,27.68,16.45,19,14,31,976.38,36.00
3480.00,3540.00,489.00,z_ccb_to_rp4_2,488.00,3581.25,485,39.00,39.00,88.21,12,59.64,12,11.64,11.62,55.24,7.38,50.68,0.53,34.80,10.32,10,6,17,616.39,42.00
3540.00,3600.00,895.00,z_ccb_to_rp4_1,608.00,5266.22,588,64.00,27.00,123.51,13,47.48,17,12.79,8.69,71.92,7.68,43.59,1.39,30.32,15.90,11,14,28,945.83,60.00
3540.00,3600.00,484.00,z_ccb_to_rp4_2,395.00,2524.31,351,26.00,19.00,96.62,12,59.64,12,8.49,6.93,38.45,5.28,48.30,1.27,24.42,10.03,11,13,22,596.55,49.00
3600.00,3660.00,552.00,z_ccb_to_rp4_1,511.00,4474.78,537,35.00,33.00,138.44,15,55.80,20,14.15,13.10,61.27,7.27,40.20,2.09,25.44,14.75,15,22,29,873.55,36.00
3600.00,3660.00,295.00,z_ccb_to_rp4_2,287.00,1779.73,244,18.00,18.00,82.92,10,54.67,11,5.09,4.95,26.20,3.47,42.27,1.90,21.32,8.80,12,13,21,521.32,56.00
3660.00,3720.00,525.00,z_ccb_to_rp4_1,523.00,6598.34,509,54.00,52.00,178.98,14,40.73,15,21.00,20.92,103.56,7.85,31.92,1.78,26.06,11.62,16,10,23,686.44,26.00
3660.00,3720.00,632.00,z_ccb_to_rp4_2,618.00,4330.03,590,31.00,31.00,98.31,13,64.61,13,19.75,19.31,68.63,9.28,57.50,0.51,44.75,11.65,7,3,15,697.50,28.00
3720.00,3780.00,600.00,z_ccb_to_rp4_1,392.00,4580.00,446,56.00,38.00,138.22,13,36.32,13,21.43,14.00,74.72,7.13,28.77,1.64,27.35,10.47,7,13,20,622.33,21.00
3720.00,3780.00,560.00,z_ccb_to_rp4_2,403.00,2447.68,339,57.00,31.00,90.51,12,63.22,13,7.57,5.45,32.06,4.30,48.66,1.37,25.74,10.17,9,14,21,602.20,65.00
3780.00,3840.00,24.00,z_ccb_to_rp4_1,13.00,92.53,15,14.00,6.00,20.01,3,22.35,9,4.00,2.17,1.54,0.25,16.40,9.49,2.95,6.42,30,31,37,360.29,4.00
3780.00,3840.00,52.00,z_ccb_to_rp4_2,48.00,231.97,38,10.00,10.00,26.17,3,34.80,8,4.00,3.69,3.78,0.62,19.44,6.23,5.95,4.37,15,18,22,253.95,10.00
3840.00,3900.00,243.00,z_ccb_to_rp4_1,243.00,1771.84,233,51.00,51.00,77.74,10,39.11,14,24.30,24.30,29.53,3.88,23.01,5.02,8.94,8.60,29,21,35,497.38,11.00
3840.00,3900.00,507.00,z_ccb_to_rp4_2,484.00,3290.83,476,70.00,60.00,77.84,11,57.49,12,46.09,44.00,54.85,7.93,41.34,0.75,41.24,8.75,8,0,12,525.00,8.00
3900.00,3960.00,1316.00,z_ccb_to_rp4_1,1073.00,9799.73,1064,111.00,60.00,178.70,19,53.08,19,69.26,56.47,163.25,17.72,51.77,0.27,57.24,18.57,5,0,19,1110.96,9.00
3900.00,3960.00,1226.00,z_ccb_to_rp4_2,719.00,5103.96,717,128.00,60.00,85.35,12,57.49,12,94.31,55.31,85.07,11.95,57.39,0.01,59.96,12.00,0,0,12,720.00,2.00
3960.00,4020.00,2274.00,z_ccb_to_rp4_1,1014.00,9646.17,1052,171.00,60.00,178.71,19,53.05,19,78.41,34.97,154.47,16.62,52.01,0.24,54.84,18.67,1,4,20,1118.58,12.00
3960.00,4020.00,1686.00,z_ccb_to_rp4_2,589.00,4169.55,565,166.00,51.00,85.33,12,59.64,12,46.83,16.36,68.65,9.27,53.21,0.38,41.94,10.82,3,3,15,647.70,25.00
4020.00,4080.00,1669.00,z_ccb_to_rp4_1,885.00,7218.77,872,184.00,42.00,178.85,20,55.87,21,46.36,24.58,113.79,13.55,50.14,0.96,37.13,18.17,11,11,27,1081.65,28.00
4020.00,4080.00,638.00,z_ccb_to_rp4_2,561.00,4036.46,536,41.00,39.00,99.04,13,64.61,13,14.84,13.05,63.47,8.33,55.16,0.66,35.32,11.23,6,7,18,671.68,32.00
4080.00,4140.00,782.00,z_ccb_to_rp4_1,641.00,4746.55,620,39.00,33.00,115.73,14,46.66,18,22.34,18.31,77.18,10.02,42.56,1.88,21.52,15.78,21,23,37,926.89,25.00
4080.00,4140.00,474.00,z_ccb_to_rp4_2,394.00,2431.51,338,33.00,27.00,94.41,12,59.64,12,7.29,6.06,38.60,5.23,46.81,1.27,28.73,9.72,7,10,18,577.70,56.00
4140.00,4200.00,819.00,z_ccb_to_rp4_1,564.00,3854.26,528,36.00,33.00,87.45,12,53.05,19,13.21,9.10,55.36,7.47,39.60,1.62,28.26,14.65,13,21,27,864.63,57.00
4140.00,4200.00,172.00,z_ccb_to_rp4_2,162.00,454.98,78,11.00,10.00,28.66,2,48.07,10,1.95,1.84,5.65,0.90,39.28,2.29,20.46,8.33,12,15,20,493.29,85.00
4200.00,4260.00,31.00,z_ccb_to_rp4_1,1.00,5.00,1,22.00,1.00,5.00,1,15.38,6,15.50,0.50,0.08,0.02,1.68,6.94,3.26,0.75,0,6,6,41.07,0.00
4200.00,4260.00,4.00,z_ccb_to_rp4_2,3.00,1.84,1,2.00,2.00,1.84,1,24.86,5,1.33,1.00,0.03,0.02,3.10,5.90,4.47,0.77,0,5,5,43.12,2.00
4260.00,4320.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4260.00,4320.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4320.00,4380.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4320.00,4380.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4380.00,4440.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4380.00,4440.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4440.00,4500.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4440.00,4500.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4500.00,4560.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4500.00,4560.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4560.00,4620.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4560.00,4620.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4620.00,4680.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4620.00,4680.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4680.00,4740.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4680.00,4740.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4740.00,4800.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4740.00,4800.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4800.00,4860.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4800.00,4860.00,0.00,z_ccb_to_rp4_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
4860.00,4920.00,0.00,z_ccb_to_rp4_1,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
