interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
1680.00,1740.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
1740.00,1800.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,19.68,9,0.00,0.00,0.00,0.00,12.17,9.41,3.08,5.38,15,14,20,306.41,0.00
1740.00,1800.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
1800.00,1860.00,5.00,z_ach1_mgp_to_rp1_1,5.00,10.00,2,3.00,3.00,5.00,1,22.14,9,1.67,1.67,0.17,0.03,16.53,8.52,4.24,7.22,18,17,24,413.86,3.00
1800.00,1860.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
1860.00,1920.00,2.00,z_ach1_mgp_to_rp1_1,2.00,0.00,0,1.00,1.00,0.00,0,22.52,10,1.00,1.00,0.00,0.00,13.93,9.25,3.56,6.10,14,16,21,349.68,2.00
1860.00,1920.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
1920.00,1980.00,9.00,z_ach1_mgp_to_rp1_1,8.00,20.00,4,3.00,3.00,5.00,1,17.33,8,1.80,1.60,0.33,0.07,12.85,9.50,3.56,5.63,16,14,21,322.01,4.00
1920.00,1980.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
1980.00,2040.00,34.00,z_ach1_mgp_to_rp1_1,34.00,155.46,26,11.00,11.00,21.19,3,22.69,10,4.25,4.25,2.51,0.42,17.92,7.80,6.35,7.70,16,16,23,445.96,8.00
1980.00,2040.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
2040.00,2100.00,3.00,z_ach1_mgp_to_rp1_1,3.00,5.00,1,2.00,2.00,5.00,1,19.68,8,1.50,1.50,0.08,0.02,15.90,9.24,3.14,6.95,19,18,26,399.49,2.00
2040.00,2100.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.04,8.07,0.18,0.02,1,1,1,0.49,0.00
