interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
1920.00,1980.00,2918.00,z_plsr_to_rp1,925.00,8214.14,900,177.00,48.00,207.19,22,53.00,22,62.09,19.68,135.59,14.77,46.24,1.08,44.45,19.33,2,8,24,1157.50,25.00
1980.00,2040.00,426.00,z_plsr_to_rp1,367.00,2462.89,290,13.00,12.00,152.31,14,43.41,18,4.90,4.22,36.60,4.08,36.87,3.01,22.72,15.80,16,14,32,932.91,77.00
2040.00,2100.00,1191.00,z_plsr_to_rp1,1098.00,9687.34,1053,30.00,30.00,197.20,20,50.97,22,19.85,18.30,136.84,14.33,48.27,0.39,53.89,20.42,4,3,22,1221.32,45.00
2100.00,2160.00,1065.00,z_plsr_to_rp1,838.00,6773.14,748,30.00,28.00,200.98,21,50.58,21,10.24,8.06,95.70,9.95,44.99,1.13,41.20,18.82,6,4,25,1124.00,90.00
2160.00,2220.00,1367.00,z_plsr_to_rp1,1021.00,8244.68,965,48.00,33.00,200.92,21,50.58,21,17.52,13.09,110.87,12.30,48.37,0.63,47.92,20.17,3,4,24,1206.94,58.00
2220.00,2280.00,1412.00,z_plsr_to_rp1,1263.00,10258.96,1225,73.00,60.00,201.09,24,57.82,24,26.64,23.83,156.67,18.43,54.39,0.25,55.31,22.60,4,0,24,1353.23,38.00
2280.00,2340.00,2437.00,z_plsr_to_rp1,1484.00,11901.81,1476,133.00,60.00,207.34,26,60.37,26,78.61,47.87,195.04,24.15,58.67,0.03,57.32,24.92,2,1,26,1494.24,8.00
2340.00,2400.00,3442.00,z_plsr_to_rp1,1370.00,10664.93,1340,165.00,60.00,207.34,25,58.02,25,64.94,25.85,163.64,20.30,56.18,0.28,54.83,24.32,1,2,26,1456.61,30.00
2400.00,2460.00,1523.00,z_plsr_to_rp1,945.00,7644.32,912,184.00,51.00,207.34,24,57.30,24,26.72,16.58,124.76,14.75,48.74,1.08,45.19,20.60,1,7,25,1231.20,33.00
2460.00,2520.00,1216.00,z_plsr_to_rp1,1168.00,9443.03,1127,51.00,51.00,197.20,23,58.19,25,24.82,23.84,150.69,17.85,53.16,0.53,51.32,22.40,7,5,25,1337.84,41.00
2520.00,2580.00,1149.00,z_plsr_to_rp1,759.00,5782.28,672,51.00,21.00,170.07,18,50.26,21,11.38,7.51,82.87,9.20,45.28,1.32,42.59,19.00,4,7,24,1135.43,87.00
2580.00,2640.00,1187.00,z_plsr_to_rp1,1097.00,9719.78,1067,52.00,52.00,200.92,22,53.00,22,25.80,23.85,155.93,16.92,49.25,0.53,51.56,20.62,6,2,23,1233.15,30.00
2640.00,2700.00,1500.00,z_plsr_to_rp1,693.00,5675.12,635,69.00,38.00,200.92,21,50.58,21,18.75,8.66,89.79,9.77,44.24,1.54,35.28,18.65,7,10,28,1111.42,60.00
2700.00,2760.00,1156.00,z_plsr_to_rp1,1116.00,10662.90,1079,55.00,55.00,201.43,20,48.17,21,24.08,23.25,166.83,16.50,47.54,0.27,55.75,19.93,3,1,21,1193.01,37.00
2760.00,2820.00,1985.00,z_plsr_to_rp1,1109.00,10802.51,1093,95.00,59.00,200.92,20,48.17,20,55.14,30.80,172.11,17.18,47.09,0.21,55.07,19.58,1,1,21,1174.53,16.00
2820.00,2880.00,1289.00,z_plsr_to_rp1,1137.00,10252.08,1109,55.00,53.00,201.21,21,50.64,21,29.30,25.84,162.53,17.32,48.80,0.26,51.84,20.30,3,2,23,1215.33,28.00
